nev_name,min_pollination_diff_1992_2020,max_pollination_diff_1992_2020,count_pollination_diff_1992_2020,nodata_count_pollination_diff_1992_2020,valid_count_pollination_diff_1992_2020,sum_pollination_diff_1992_2020,stdev_pollination_diff_1992_2020,p5_pollination_diff_1992_2020,p95_pollination_diff_1992_2020,min_sed_ret_ratio_diff_1992_2020,max_sed_ret_ratio_diff_1992_2020,count_sed_ret_ratio_diff_1992_2020,nodata_count_sed_ret_ratio_diff_1992_2020,valid_count_sed_ret_ratio_diff_1992_2020,sum_sed_ret_ratio_diff_1992_2020,stdev_sed_ret_ratio_diff_1992_2020,p5_sed_ret_ratio_diff_1992_2020,p95_sed_ret_ratio_diff_1992_2020,min_sed_export_diff_1992_2020,max_sed_export_diff_1992_2020,count_sed_export_diff_1992_2020,nodata_count_sed_export_diff_1992_2020,valid_count_sed_export_diff_1992_2020,sum_sed_export_diff_1992_2020,stdev_sed_export_diff_1992_2020,p5_sed_export_diff_1992_2020,p95_sed_export_diff_1992_2020,min_coastal_risk_esa_diff_1992_2020,max_coastal_risk_esa_diff_1992_2020,count_coastal_risk_esa_diff_1992_2020,nodata_count_coastal_risk_esa_diff_1992_2020,valid_count_coastal_risk_esa_diff_1992_2020,sum_coastal_risk_esa_diff_1992_2020,stdev_coastal_risk_esa_diff_1992_2020,p5_coastal_risk_esa_diff_1992_2020,p95_coastal_risk_esa_diff_1992_2020,min_usle_diff_1992_2020,max_usle_diff_1992_2020,count_usle_diff_1992_2020,nodata_count_usle_diff_1992_2020,valid_count_usle_diff_1992_2020,sum_usle_diff_1992_2020,stdev_usle_diff_1992_2020,p5_usle_diff_1992_2020,p95_usle_diff_1992_2020,min_n_ret_ratio_diff_1992_2020,max_n_ret_ratio_diff_1992_2020,count_n_ret_ratio_diff_1992_2020,nodata_count_n_ret_ratio_diff_1992_2020,valid_count_n_ret_ratio_diff_1992_2020,sum_n_ret_ratio_diff_1992_2020,stdev_n_ret_ratio_diff_1992_2020,p5_n_ret_ratio_diff_1992_2020,p95_n_ret_ratio_diff_1992_2020,min_n_retention_diff_1992_2020,max_n_retention_diff_1992_2020,count_n_retention_diff_1992_2020,nodata_count_n_retention_diff_1992_2020,valid_count_n_retention_diff_1992_2020,sum_n_retention_diff_1992_2020,stdev_n_retention_diff_1992_2020,p5_n_retention_diff_1992_2020,p95_n_retention_diff_1992_2020,min_nature_access_diff_1992_2020,max_nature_access_diff_1992_2020,count_nature_access_diff_1992_2020,nodata_count_nature_access_diff_1992_2020,valid_count_nature_access_diff_1992_2020,sum_nature_access_diff_1992_2020,stdev_nature_access_diff_1992_2020,p5_nature_access_diff_1992_2020,p95_nature_access_diff_1992_2020,min_n_export_diff_1992_2020,max_n_export_diff_1992_2020,count_n_export_diff_1992_2020,nodata_count_n_export_diff_1992_2020,valid_count_n_export_diff_1992_2020,sum_n_export_diff_1992_2020,stdev_n_export_diff_1992_2020,p5_n_export_diff_1992_2020,p95_n_export_diff_1992_2020
Armenia,-11.075962,11.106806,407481,0,407481,14363.986,0.5797998401911308,-0.08183904737234116,0.12337601184844971,nan,nan,407527,0,407527,nan,nan,nan,nan,-7034.8223,13125.213,407527,16388,391139,24033.438,105.4174335641211,-19.02199363708496,20.395152664184536,,,407459,407459,0,0.0,,,,-19998.195,32984.61,407527,16269,391258,1.749298e+06,440.9148399134883,0.0,0.0,nan,nan,407551,0,407551,nan,nan,nan,nan,-513.7854,487.1607,407551,14804,392747,265882.75,16.09446558879331,-4.30303077697754,4.2525085449218825,-1.84262e+06,1.6923798e+06,5528,0,5528,-9.822773e+06,65219.19693640366,0.0,0.0,-105.01754,110.463844,407551,14804,392747,115756.96,4.576391211094862,-1.460962247848511,4.902570676803589
Aruba,0.0,0.0,2152,220,1932,0.0,0.0,0.0,0.0,nan,nan,2158,0,2158,nan,nan,nan,nan,,,2158,2158,0,0.0,,,,-0.23571992,0.08098531,2155,2124,31,-0.044764966,0.04765075865466928,-0.005751412827521563,0.060738980770111084,-341.7248,267.4071,2158,730,1428,2304.386,17.354571527245483,0.0,10.932303380966173,nan,nan,2158,0,2158,nan,nan,nan,nan,,,2158,2158,0,0.0,,,,-114494.06,0.0,18,4,14,-343482.2,46979.88025057364,-114494.0625,0.0,,,2158,2158,0,0.0,,,
Australia,-207.62003,123.242935,90344679,215720,90128959,91177.1,0.3617906360486053,0.0,0.0,nan,nan,90344656,0,90344656,nan,nan,nan,nan,-46015.69,31963.342,90344656,3098423,87246233,2.6680185e+06,13.847923073843107,-0.30246481895446764,0.12422868013381905,-3.8437102,3.3741364,90343794,90322571,21223,-2752.5164,0.586623465451303,-1.3189968705177306,0.6170266270637512,-156452.88,88206.32,90344656,1408219,88936437,1.4671288e+07,99.84099899540595,0.0,0.0,nan,nan,90344836,0,90344836,nan,nan,nan,nan,-2197.2402,2204.9082,90344628,6493618,83851010,9.912446e+07,19.99869232506788,-0.6262151718139641,5.152294158935547,-4.8719015e+06,4.657387e+06,1925647,16484,1909163,-1.3622958e+09,54636.76558852165,0.0,0.0,-743.7904,981.4235,90344628,6493618,83851010,1.6056353e+07,4.6520283437124474,-1.7380076766014099,1.808253288269043
Austria,-27.353548,40.042503,1300921,0,1300921,45429.695,1.3785149129529526,0.0,0.0,-0.06623465,0.026479006,1300963,0,1300963,nan,nan,nan,nan,-20457.848,12399.583,1300963,9168,1291795,9.497633e+06,133.79167512804938,-1.1305686950683589,24.051962661743193,,,1300859,1300859,0,0.0,,,,-137845.47,88759.2,1300963,9161,1291802,4.238508e+07,898.5513177401614,0.0,22.80499782562244,nan,nan,1300983,0,1300983,nan,nan,nan,nan,-1605.3461,1859.1447,1300983,55707,1245276,1.4275472e+06,144.32144054825196,-6.323832035064697,7.42431640625,-2.9281512e+06,2.9106938e+06,16253,2,16251,-6.846005e+07,213834.09156646542,0.0,0.0,-916.54956,833.3389,1300983,55707,1245276,1.7733451e+06,40.001432357816746,-0.15090179443359375,7.752264022827148
Azerbaijan,-9.598787,15.654447,1190000,0,1190000,1778.4116,0.20700820959414146,-0.046569377183914185,0.020118275098502645,nan,nan,1190068,0,1190068,nan,nan,nan,nan,-7603.6895,10642.819,1190068,73534,1116534,554646.3,92.01327476292074,-9.361290645599365,3.4081787109374915,,,1189948,1189948,0,0.0,,,,-32448.014,55853.723,1190068,24330,1165738,1.950933e+06,485.5026566791488,0.0,0.0,nan,nan,1190083,0,1190083,nan,nan,nan,nan,-309.9862,344.0891,1190084,124763,1065321,559532.1,9.678819989215986,-0.44524383544921875,3.4154586791992188,-2.808554e+06,2.759726e+06,19609,238,19371,-8.404941e+07,114301.7890951186,0.0,0.0,-99.442955,114.82831,1190084,124763,1065321,50009.023,3.101600794437648,-1.5690975189208984,0.9156284332275391
Bahrain,0.0,4.9009614,8597,805,7792,45.229027,0.13135718615418565,0.0,0.0,nan,nan,8591,0,8591,nan,nan,nan,nan,,,8591,8591,0,0.0,,,,-1.2763546,1.0481988,8594,8500,94,-1.8597678,0.3620751612015673,-0.617358922958374,0.5431552767753601,-265.90616,68.74311,8591,7240,1351,-11733.888,21.24371311583597,-41.02289009094238,0.0,nan,nan,8592,0,8592,nan,nan,nan,nan,,,8592,8592,0,0.0,,,,0.0,0.0,135,30,105,0.0,0.0,0.0,0.0,,,8592,8592,0,0.0,,,
Bangladesh,-19.234455,31.409094,1617233,22517,1594716,39485.41,0.479805856051507,-0.08784777484834194,0.14164215326309204,nan,nan,1617221,0,1617221,nan,nan,nan,nan,-4598.4834,4414.476,1617221,324337,1292884,-296708.94,16.381185067031243,-0.6635411024093627,0.21959648132324006,-1.8410287,3.4114637,1617170,1616534,636,14.697968,0.5212616909021549,-0.2832798957824707,0.25332504510879517,-37769.027,58633.016,1617221,136664,1480557,-6.167805e+06,207.27072217320807,0.0,0.0,nan,nan,1617244,0,1617244,nan,nan,nan,nan,-1937.6161,1928.0454,1617243,370955,1246288,-3.6192888e+06,142.96587466701337,-12.339077758789058,2.352456665039057,-1.9579222e+07,1.8246106e+07,34221,658,33563,6.734895e+06,375352.56143282563,0.0,0.0,-901.76514,886.21936,1617243,370955,1246288,436298.2,34.057641381333156,-3.652845573425291,8.037417984008737
Barbados,0.0,0.0,5025,263,4762,0.0,0.0,0.0,0.0,nan,nan,5028,0,5028,nan,nan,nan,nan,,,5028,5028,0,0.0,,,,0.05721903,0.26114392,5025,5020,5,0.734777,0.06901679419688878,0.06532940864562989,0.24077944755554198,-14442.288,9435.859,5028,1119,3909,-325751.4,619.2551320196986,-349.7057983398437,0.0,nan,nan,5026,0,5026,nan,nan,nan,nan,,,5026,5026,0,0.0,,,,-273302.4,0.0,27,6,21,-273302.4,58202.16757653979,0.0,0.0,,,5026,5026,0,0.0,,,
Belarus,-19.660198,23.874424,3638184,0,3638184,74894.53,1.3268254480024937,-1.111952048540115,0.43345797061920077,nan,nan,3638267,0,3638267,nan,nan,nan,nan,-149.29234,33.467537,3638267,9759,3628508,-62911.344,0.48845401035263675,-0.18220913410186768,0.08246705792844243,,,3638088,3638088,0,0.0,,,,-752.7213,301.4902,3638267,9759,3628508,-520605.53,4.026609277830125,-1.1710404574871063,0.0,nan,nan,3638322,0,3638322,nan,nan,nan,nan,-472.7553,405.12527,3638322,172349,3465973,-841645.44,47.674922461857314,-7.90631103515625,9.295867919921875,-2.459553e+06,2.4236778e+06,32721,0,32721,1.6070554e+08,133089.8472273071,0.0,3565.444580078125,-221.60004,183.55405,3638322,172349,3465973,662208.25,12.46751443582504,-8.189611625671386,6.717153549194336
Belgium,-78.914444,79.00717,507054,1196,505858,78453.48,1.701588567661049,0.0,0.0655518200248478,nan,nan,507073,0,507073,nan,nan,nan,nan,-1010.6621,332.49326,507073,10015,497058,-19794.912,5.07956798226206,-0.41763381958007806,0.19246305972337646,-0.019751608,0.20428175,506985,506917,68,3.886918,0.07238974757326605,-0.018945634365081787,0.19521194696426392,-4976.5835,3122.5535,507073,2824,504249,-67164.8,31.08234498451503,-3.145399570465088,0.0,nan,nan,507102,0,507102,nan,nan,nan,nan,-1572.4634,1684.0903,507102,33409,473693,-1.5091438e+07,207.26210796117556,-505.9652038574216,6.146102142333983,-2.3055605e+06,1.9292456e+06,1203,0,1203,-5.932596e+06,152393.0376582447,0.0,0.0,-677.21387,706.6076,507102,33409,473693,-2.845265e+06,47.815993250974,-46.01176071166992,4.0740509033203125
Belize,-3.8686216,3.86894,246866,4535,242331,108.34659,0.12918924411337862,-0.008661238476634026,0.0,nan,nan,246851,0,246851,nan,nan,nan,nan,-1433.5315,2848.136,246851,29786,217065,379677.88,24.096071760229933,-0.00040519423782825427,3.656803655624388,-1.3063241,2.63008,246827,246282,545,102.784096,0.41807488525016345,-0.05961966514587402,0.9264034271239829,-26626.58,38432.645,246851,11975,234876,4.992141e+06,291.76769123874317,0.0,61.11684036254883,nan,nan,246858,0,246858,nan,nan,nan,nan,-768.57745,959.9733,246858,37850,209008,1.6335085e+06,58.98851828775754,0.0,8.79275608062744,-16921.877,21587.068,523,120,403,105140.016,2532.2906763568335,0.0,0.0,-276.33887,438.57672,246858,37850,209008,276365.5,10.215449120807294,0.0,1.779482591152189
Benin,-2.300315,4.9497304,1233392,1677,1231715,6813.421,0.09420952340560479,-0.025642838329076743,0.08205642774701137,nan,nan,1233483,0,1233483,nan,nan,nan,nan,-3729.355,4642.8906,1233483,8664,1224819,-374148.28,18.764226290066695,-5.911962985992432,5.440398693084663,,,1233415,1233415,0,0.0,,,,-19872.754,30923.979,1233483,6250,1227233,286529.2,153.80409654603918,-37.682239532470696,22.51773452758738,nan,nan,1233481,0,1233481,nan,nan,nan,nan,-191.36606,193.03882,1233474,47748,1185726,5.724298e+06,32.70348342404045,-4.8890228271484375,20.163984298706055,-2.954753e+06,2.8638622e+06,6740,82,6658,-2.9699876e+07,162782.11119587015,0.0,0.0,-108.43107,105.63249,1233474,47748,1185726,-524197.84,8.922613412110952,-11.64137315750122,12.186990737915039
Bermuda,,,949,949,0,0.0,,,,nan,nan,946,0,946,nan,nan,nan,nan,,,946,946,0,0.0,,,,,,946,946,0,0.0,,,,,,946,946,0,0.0,,,,nan,nan,949,0,949,nan,nan,nan,nan,,,949,949,0,0.0,,,,,,19,19,0,0.0,,,,,,949,949,0,0.0,,,
Bhutan,-7.203469,7.203817,458316,0,458316,40.97671,0.08844683828017906,0.0,0.0,nan,nan,458370,0,458370,nan,nan,nan,nan,-92321.89,81174.61,458370,9082,449288,-1.8366538e+07,790.7422923361064,-46.227327919006335,0.15671688318252558,,,458286,458286,0,0.0,,,,-552443.8,428277.62,458370,9083,449287,-1.851368e+08,5068.9678907558355,0.0,0.0,nan,nan,458376,0,458376,nan,nan,nan,nan,-2350.426,2339.4119,458375,14201,444174,-313015.2,25.12901755302748,-6.866455078125e-05,0.0,-28378.484,24236.203,4771,0,4771,-79213.34,930.3383946771864,0.0,0.0,-1343.2446,300.9744,458375,14201,444174,-105647.84,5.776610002727681,-0.0675493717193601,0.0
Bolivia,-10.468423,10.464976,11927061,0,11927061,-41297.188,0.11883637702520251,0.0,0.0,nan,nan,11927288,0,11927288,nan,nan,nan,nan,-96189.97,99806.97,11927288,345375,11581913,-1.8182636e+07,267.683256449032,-2.6812297821044933,3.514779281616212,,,11927035,11927035,0,0.0,,,,-510321.16,352645.5,11927288,341936,11585352,1.7950888e+07,1364.1516813806554,0.0,13.702444124221781,nan,nan,11927333,0,11927333,nan,nan,nan,nan,-483.73157,508.8593,11927331,672105,11255226,4.3602775e+06,6.52977963981081,-0.6552677154541016,2.9089314937591553,-2.1842505e+06,1.9124466e+06,259787,0,259787,-8.315217e+08,75478.66870762709,0.0,0.0,-290.38272,397.72534,11927331,672105,11255226,1.6662752e+06,1.5462286100853826,-0.007605016231536865,1.185461938381195
"Bonaire, Sint Eustatius and Saba",0.0,0.0,3498,325,3173,0.0,0.0,0.0,0.0,nan,nan,3493,0,3493,nan,nan,nan,nan,,,3493,3493,0,0.0,,,,-1.1482521,0.831664,3495,3438,57,-0.12677419,0.21035825944334252,0.0013098716735839844,0.15987648963928203,-14.692254,209.55255,3493,1564,1929,1383.489,8.013547922486945,0.0,0.0,nan,nan,3495,0,3495,nan,nan,nan,nan,,,3494,3494,0,0.0,,,,-18694.059,0.0,49,14,35,-37388.117,4339.178657649279,-5608.217578124997,0.0,,,3494,3494,0,0.0,,,
Bosnia and Herzegovina,-5.8290954,6.504764,744861,40,744821,27837.152,0.5222896085397253,-0.04423198103904724,0.24222731590270996,nan,nan,744906,0,744906,nan,nan,nan,nan,-21890.781,35752.188,744906,41003,703903,3.8310215e+06,223.65886198015008,-3.3113383293151855,30.316864013671875,,,744800,744800,0,0.0,,,,-105337.35,127269.22,744906,3369,741537,1.3247575e+07,1260.8258504942091,0.0,46.50758666992187,nan,nan,744940,0,744940,nan,nan,nan,nan,-947.1405,974.481,744940,82307,662633,4.0040685e+06,47.4352227474325,-10.722668457031252,15.552917098999064,-618009.4,630000.75,2952,4,2948,-1.1015319e+06,35646.298641353824,0.0,0.0,-530.68726,469.50873,744940,82307,662633,1.6915865e+06,13.365831683447478,-0.15865383148193368,22.256399536132818
Botswana,-0.86632794,0.096228234,6564399,0,6564399,-5.383713,0.000879271500790272,0.0,0.0,nan,nan,6564545,0,6564545,nan,nan,nan,nan,-793.68976,2082.8313,6564545,59249,6505296,-85854.17,1.7571636290029407,-0.027743205428123474,0.00302322581410408,,,6564637,6564637,0,0.0,,,,-7919.635,12677.494,6564545,54119,6510426,-1.4521279e+06,21.784590907819556,0.0,0.0,nan,nan,6564583,0,6564583,nan,nan,nan,nan,-72.49761,217.54027,6564619,674424,5890195,858478.1,1.9148495775409065,0.0,1.939088058471679,-641485.0,447664.0,12759,0,12759,-3.180699e+07,35464.91194041801,0.0,0.0,-29.863941,32.367344,6564619,674424,5890195,-1.362252e+06,0.9354709545506035,-2.1885636568069455,0.0
Brazil,-37.456306,37.455666,92076525,418238,91658287,185251.56,0.28836621453108735,0.0,0.0,nan,nan,92076766,0,92076766,nan,nan,nan,nan,-103791.4,132460.55,92076766,1710264,90366502,-2.8541078e+07,95.32441806930217,-1.08282470703125,4.490595316886903,-7.121056,4.60317,92075793,92009582,66211,-16022.157,0.5669932371625097,-0.9675086736679077,0.26022958755493164,-624976.6,1.02808956e+06,92076766,1200620,90876146,5.420697e+08,724.6483970072552,0.0,28.428214073181152,nan,nan,92076876,0,92076876,nan,nan,nan,nan,-894.5229,992.6355,92076870,5062636,87014234,2.9679622e+08,53.277473393697136,-0.1450653076171875,8.309399986267067,-2.2777684e+07,2.2586976e+07,2115016,12794,2102222,-1.7141085e+09,189961.54696386858,0.0,0.0,-486.49234,443.8605,92076870,5062636,87014234,2.8317432e+07,8.767838980629847,-0.11427593231201172,3.9536199092864877
British Indian Ocean Territory,,,1014,1014,0,0.0,,,,nan,nan,1016,0,1016,nan,nan,nan,nan,,,1016,1016,0,0.0,,,,,,1018,1018,0,0.0,,,,,,1016,1016,0,0.0,,,,nan,nan,1014,0,1014,nan,nan,nan,nan,,,1014,1014,0,0.0,,,,0.0,0.0,22,21,1,0.0,0.0,0.0,0.0,,,1014,1014,0,0.0,,,
British Virgin Islands,0.0,0.0,2178,441,1737,0.0,0.0,0.0,0.0,nan,nan,2178,0,2178,nan,nan,nan,nan,,,2178,2178,0,0.0,,,,-1.9567187,2.784907,2184,2046,138,12.014755,0.5359450919822438,-0.17013788223266602,1.4875834643840795,-6440.6367,16556.768,2178,1455,723,241165.19,1571.7808800044313,0.0,2036.191955566405,nan,nan,2172,0,2172,nan,nan,nan,nan,,,2172,2172,0,0.0,,,,-26769.482,0.0,31,15,16,-26769.482,6479.859950642538,-6692.37060546875,0.0,,,2172,2172,0,0.0,,,
