nev_name,avg_n_export_diff_1992_2020_ha,stdev_n_export_diff_1992_2020_ha,valid_count_n_export_diff_1992_2020_ha,count_n_export_diff_1992_2020_ha,p5_n_export_diff_1992_2020_ha,p95_n_export_diff_1992_2020_ha,avg_n_retention_ratio_diff_1992_2020,stdev_n_retention_ratio_diff_1992_2020,valid_count_n_retention_ratio_diff_1992_2020,count_n_retention_ratio_diff_1992_2020,p5_n_retention_ratio_diff_1992_2020,p95_n_retention_ratio_diff_1992_2020,avg_sed_export_diff_1992_2020_ha,stdev_sed_export_diff_1992_2020_ha,valid_count_sed_export_diff_1992_2020_ha,count_sed_export_diff_1992_2020_ha,p5_sed_export_diff_1992_2020_ha,p95_sed_export_diff_1992_2020_ha,avg_realized_polllination_on_ag_1992_2020_diff_ha,stdev_realized_polllination_on_ag_1992_2020_diff_ha,valid_count_realized_polllination_on_ag_1992_2020_diff_ha,count_realized_polllination_on_ag_1992_2020_diff_ha,p5_realized_polllination_on_ag_1992_2020_diff_ha,p95_realized_polllination_on_ag_1992_2020_diff_ha,avg_sed_retention_ratio_diff_1992_2020,stdev_sed_retention_ratio_diff_1992_2020,valid_count_sed_retention_ratio_diff_1992_2020,count_sed_retention_ratio_diff_1992_2020,p5_sed_retention_ratio_diff_1992_2020,p95_sed_retention_ratio_diff_1992_2020,avg_nature_access_diff_1992_2020,stdev_nature_access_diff_1992_2020,valid_count_nature_access_diff_1992_2020,count_nature_access_diff_1992_2020,p5_nature_access_diff_1992_2020,p95_nature_access_diff_1992_2020
Armenia,0.040608364867363723,0.6316404018717388,392747,407551,-0.20026688575744633,0.671785128116608,-0.0031221543746951614,0.06990596094416672,371098,407551,-0.07930759489536285,0.04392020404338827,,,0,407527,,,0.010072368880647898,0.11384734550598946,193136,407481,-0.04145161435008049,0.06601530127227306,-0.0001607570865504223,0.02315137440891917,378642,407527,-0.03319002091884613,0.02629717290401461,-1776.9126266280753,65219.19693640366,5528,5528,0.0,0.0
Aruba,,,0,2158,,,,,0,2158,,,,,0,2158,,,,,0,2152,,,,,0,2158,,,-24534.441964285714,46979.88025057364,14,18,-114494.0625,0.0
Australia,0.023973378495977568,0.5748343330139346,83851010,90344628,-0.20249783173203462,0.21237432286143298,0.0014340830514584287,0.07770954378312192,77725673,90344628,-0.03356003761291504,0.04190564155578613,,,0,90344656,,,0.0024813267870439316,0.2017597748564929,4781080,90344679,-0.0012594525469467044,0.0028965377365238916,0.0005893397784291565,0.014811245763455098,82800786,90344656,-0.009246110916137695,0.013350307941436768,-713.5565732208303,54636.76558852165,1909163,1925647,0.0,0.0
Austria,0.2172738463200126,6.201536164908084,1245276,1300983,-0.023533064872026443,1.2013686001300812,-0.007659122225910372,0.11867777173218409,1201295,1300983,-0.0950371503829956,0.029596501588821447,,,0,1300963,,,0.029392625447056148,0.49728898283921197,241860,1300921,-0.1452101618051529,0.21212728321552277,-0.006039557096815504,0.02021542753860231,1231843,1300963,-0.04356113672256469,0.008729034662246643,-4212.666789736017,213834.09156646542,16251,16253,0.0,0.0
Azerbaijan,0.005975223206637952,0.42421810047780917,1065321,1190084,-0.21654897928237915,0.1256205141544342,0.0039687735271120095,0.0831505014192264,1011217,1190084,-0.025375175476074215,0.045266783237457225,,,0,1190068,,,0.0005372861791815591,0.04607649237260253,441010,1190000,-0.03086231444031,0.0333718761801719,0.0011356604196525952,0.01627118667722745,1058088,1190068,-0.011863839626312253,0.016373294591903675,-4338.929740333489,114301.7890951186,19371,19609,0.0,0.0
Bahrain,,,0,8592,,,,,0,8592,,,,,0,8591,,,0.23020677981169327,0.1651474728327168,23,8597,0.08759039118885995,0.500556257367134,,,0,8591,,,0.0,0.0,105,135,0.0,0.0
Bangladesh,0.04094070564448185,3.9238781012815793,1246288,1617243,-0.4179536849260325,0.9236126482486693,-0.0013945962723484852,0.0928587882215572,1098886,1617243,-0.02678859233856201,0.01943826675415039,,,0,1617221,,,0.009777101918761414,0.10152994121126474,463779,1617233,-0.09838659763336181,0.1752392888069152,0.00018359610645251565,0.006997591093942805,1157943,1617221,-0.0018608570098876953,0.00410788059234618,200.66427315794178,375352.56143282563,33563,34221,0.0,0.0
Barbados,,,0,5026,,,,,0,5026,,,,,0,5028,,,,,0,5025,,,,,0,5028,,,-13014.400297619048,58202.16757653979,21,27,0.0,0.0
Belarus,0.031950711874414485,2.187797398278633,3465973,3638322,-1.4440220594406128,1.177562689781185,-0.0024940530385997466,0.10933144530858187,3307716,3638322,-0.08668126910924911,0.08724763989448547,,,0,3638267,,,0.006781083494451693,0.3277577291100989,1885260,3638184,-0.3653678312897682,0.6367467820644322,0.0010782952472016538,0.01591328361862636,3413132,3638267,-0.01327579021453857,0.020998477935791016,4911.388282754195,133089.8472273071,32721,32721,0.0,3565.444580078125
Belgium,-0.9955750612738631,7.873512459817826,473693,507102,-7.622712326049798,0.6706149458885192,-0.006009398245314945,0.15767640210926306,446713,507102,-0.1232643961906433,0.12044097185134832,,,0,507073,,,0.056991744309328914,0.4178355980003554,227840,507054,-0.0024305606726557016,0.3372971549630158,0.0003740184531547329,0.011098641686596737,470859,507073,-0.012974447011947632,0.011909377574920652,-4931.501246882793,152393.0376582447,1203,1203,0.0,0.0
Belize,0.14592587738866455,1.126773134364986,209008,246858,0.0,0.19604982361197443,-0.01599530746610578,0.08871585625248664,195627,246858,-0.14493806362152098,0.013163328170776367,,,0,246851,,,0.00038646507552483574,0.039873777249642466,30987,246866,-0.059176113456487656,0.07513976171612732,-0.0033112181925989735,0.023312409569308443,203981,246851,-0.01804971694946289,0.0002244114875793457,260.8933390198511,2532.2906763568335,403,523,0.0,0.0
Benin,-0.046340708403543485,0.9552812625844108,1185726,1233474,-1.2402695715427399,1.3042740523815155,0.013893682174721837,0.06328755077437212,1147710,1233474,-0.07691594064235686,0.11264232695102692,,,0,1233483,,,0.0018161373833070213,0.017530757775973047,400008,1233392,-0.01508424524217844,0.024794478248804708,0.003162434526542005,0.09019755827709756,1185583,1233483,-0.016684985160827635,0.0270136356353759,-4460.780414538901,162782.11119587015,6658,6740,0.0,0.0
Bermuda,,,0,949,,,,,0,949,,,,,0,946,,,,,0,949,,,,,0,946,,,,,0,19,,
Bhutan,-0.028023861601815955,0.6806063554609779,444174,458375,-0.007949792221188513,0.0,0.0005333600237466632,0.021841168478585377,430623,458375,-0.0022230148315429674,0.0012419104576110798,,,0,458370,,,0.00028724999987111895,0.05440547671609732,16812,458316,-0.005597888026386499,0.0054810421075671585,0.0031349080974774996,0.014707476799358054,432101,458370,-0.001911163330078125,0.027443647384643555,-16.603090285055544,930.3383946771864,4771,4771,0.0,0.0
Bolivia,0.016303047524323367,0.17193347154073613,11255226,11927331,-0.0008423652470810339,0.13058653846383095,-0.0034853161417192848,0.08398605949105929,10509974,11927331,-0.03939574956893921,0.015461206436157227,,,0,11927288,,,-0.007340762239099755,0.05714043418117725,620376,11927061,-0.06241168454289436,0.039015757851302624,-0.0024978961524692697,0.014107189914324044,10867626,11927288,-0.021382391452789307,0.007308602333068848,-3200.7826719581813,75478.66870762709,259787,259787,0.0,0.0
"Bonaire, Sint Eustatius and Saba",,,0,3494,,,,,0,3494,,,,,0,3493,,,,,0,3498,,,,,0,3493,,,-1068.231919642857,4339.178657649279,35,49,-5608.217578124997,0.0
Bosnia and Herzegovina,0.37584718841349585,1.9636260092331819,662633,744940,-0.022988965362310425,3.275509834289551,-0.010789023023894706,0.09748184281974842,605291,744940,-0.16807770729064941,0.06779918074607849,,,0,744906,,,0.01886902491575571,0.14136692342638763,215890,744861,-0.1438228316605091,0.3369673073291776,-0.007177813643004508,0.31064361005454544,657259,744906,-0.061596226692199704,0.010713469982147186,-373.653960312076,35646.298641353824,2948,2952,0.0,0.0
Botswana,-0.02591104263101646,0.1049724604481885,5890195,6564619,-0.24608349502086638,0.0,0.004516990398316018,0.03622825116820675,5568945,6564619,0.0,0.047383904457092285,,,0,6564545,,,-4.172568139077328e-06,0.0006592786380131673,150603,6564399,-1.4394054687727467e-05,2.4423300601483517e-05,0.0004787856401097734,0.004031241299196982,5969067,6564545,-0.0007610917091369629,0.005236268043518066,-2492.906183870209,35464.91194041801,12759,12759,0.0,0.0
Brazil,0.03270377867142978,0.9787221499086292,87014234,92076870,-0.012541668722406004,0.42528202384710223,-0.0030870803637637165,0.07255927245720117,83461870,92076870,-0.05257660150527954,0.03926539421081543,,,0,92076766,,,0.0012257186695305137,0.07043965909135515,18985069,92076525,-0.015384828858077524,0.017115591838955842,-0.001619766743900398,0.03624938881657617,86339650,92076766,-0.020304712653160084,0.0069841742515563965,-815.3794147335534,189961.54696386858,2102222,2115016,0.0,0.0
British Indian Ocean Territory,,,0,1014,,,,,0,1014,,,,,0,1016,,,,,0,1014,,,,,0,1016,,,0.0,0.0,1,22,0.0,0.0
British Virgin Islands,,,0,2172,,,,,0,2172,,,,,0,2178,,,,,0,2178,,,,,0,2178,,,-1673.0926513671875,6479.859950642538,16,31,-6692.37060546875,0.0
Brunei,-0.01588741534144734,0.39068959608937803,50933,61602,0.0,0.0,-0.0033217835199265255,0.07980333972299843,42000,61602,-0.018548211455345152,0.002584254741668698,,,0,61605,,,0.0010060175731711272,0.008126026664636821,7799,61609,-0.01114419801160693,0.017296662181615824,0.0007467728264247005,0.010293631664197283,50600,61605,-0.0013776510953903188,0.013112017512321467,1925.4476785714285,50539.75621576095,700,732,0.0,0.0
Bulgaria,-0.11370197962697672,1.8123800278049977,1517546,1591221,-0.28341221809387207,1.0964975444949232e-05,0.0020786786064511836,0.09176513536436492,1464615,1591221,-0.016664344072341918,0.0721784949302674,,,0,1591188,,,0.00037663219143740614,0.04919782215271321,665373,1591150,-0.04896740466356277,0.049546483904123306,0.0031827944689360767,0.017085878433362768,1503915,1591188,-0.005267852544784546,0.028248608112335205,1255.7244077374485,23183.02240388801,13803,14031,0.0,0.0
Burkina Faso,0.030812375546820415,0.29380333619186133,2843941,2939865,-0.16179221868515015,0.4379242956638336,-0.0014222468276772905,0.047952739834584035,2751784,2939865,-0.049425873160362246,0.047740510106086737,,,0,2939791,,,0.0008914556173939416,0.005260711125374113,1097768,2939646,-0.0022436926839873193,0.007900194264948368,-0.0019645254889501438,0.012153384785720986,2817005,2939791,-0.024262666702270508,0.007937514781951871,-1710.1711949042583,60816.94598683114,50866,50866,-221.5861701965332,0.0
Burundi,-0.01431212516459562,0.5554851413991521,271119,284099,-0.9269550085067749,0.6260957419872284,-0.0006498459078290878,0.060099385790310135,240200,284099,-0.09560208916664123,0.09895095527172085,,,0,284080,,,0.0010072629781968684,0.05119926618889534,151253,284040,-0.043022258579730986,0.06272311061620713,-0.001712676986882716,0.029767574578198022,253125,284080,-0.05194557905197143,0.04042267799377441,-2846.904931210388,297260.39098075626,6469,6493,0.0,0.0
Cabo Verde,,,0,47570,,,,,0,47570,,,,,0,47558,,,,,0,47550,,,,,0,47558,,,88.37627472864146,1666.9888125994385,357,481,0.0,0.0
Cambodia,0.09537846400357113,0.6637490465643782,1814555,1961256,0.0,0.5300071775913227,-0.008552858652849283,0.056959202827082285,1697620,1961256,-0.06421042084693909,0.014596062898635798,,,0,1961243,,,0.00045913215088326704,0.009767870390214482,399734,1961188,-0.005412515299394727,0.00922622070647776,-0.006610619257448723,0.06397653079318408,1781547,1961243,-0.037497103214263916,0.0007889688014984103,-3667.389104773077,45519.04621150019,40917,41291,-7045.528027343742,0.0
Cameroon,0.00926535957204954,0.2230069956486194,4688066,4936748,0.0,0.0,-9.438170527963054e-05,0.029378058679976435,4494361,4936748,-0.003375411033630371,0.006244778633117676,,,0,4936728,,,0.0024404685648717066,0.04737450856240898,454077,4936426,-0.04225517436861992,0.0614156424999237,-0.0007068779372628776,0.009899570971893566,4672957,4936728,-0.005965828895568848,0.0017067790031433105,-452.97126251210847,45930.443253914236,123880,123880,0.0,0.0
Canada,0.014069415438441316,0.9720424787083858,87484285,104272977,-4.753210021135561e-07,4.641238774638623e-06,-0.001962913812936303,0.07948627587393611,80275191,104272977,-0.00863996148109436,0.008685261011123657,,,0,104272840,,,0.005929199624458827,0.3343738315831985,5671016,221187839,-0.004476516856811941,0.008865663083270192,-0.00034148188315360686,0.11434045531153572,76232597,104272840,-0.005563855171203613,0.0031714439392089844,-409.7082100447047,55494.66712041064,2556332,2629984,0.0,0.0
Cayman Islands,,,0,3618,,,,,0,3618,,,,,0,3622,,,,,0,3628,,,,,0,3622,,,0.0,0.0,30,45,0.0,0.0
Central African Republic,-0.007985932691775102,0.08948335813199051,6354996,6574603,0.0,0.0,0.0011235073371754511,0.014954877205619933,6160166,6574603,0.0,0.00021873414516448975,,,0,6574517,,,6.0448582403580496e-05,0.0028087801795108522,89804,6574329,-0.0015812439378350973,0.0011891366448253393,5.068323341593403e-05,0.003996691643727689,6344617,6574517,-0.0007957220077514648,0.0005117654800415039,-68.29517248887169,5053.33147991891,82672,82672,0.0,0.0
Chad,0.009825985204910152,0.25296430388599156,12943551,13884561,-0.030831734649837017,0.006558315129950643,0.002387495096282281,0.10713015521201798,6330656,13884561,-0.03694446384906769,0.04299628734588623,,,0,13884357,,,0.0005883843712462738,0.004484975411944062,1381752,13884485,-0.0007252681767567991,0.004227847466245289,-0.0017242822592743298,0.00923383875487947,6072649,13884357,-0.01743272542953491,0.00606924295425415,-231.49861987381703,4269.503473109922,45648,45648,0.0,0.0
Chile,0.00699922751190492,2.517510800702649,7757927,10517716,-0.0021681115264072996,0.07879381403326932,0.002630292455322019,0.1438756366297634,5949631,10517716,-0.030706048011779785,0.0346052348613739,,,0,10517763,,,0.03877722878629969,0.42721479829057435,485989,10517756,-0.166481614112854,0.4542982459068275,0.0004931265636916657,0.03441105554627358,4915651,10517763,-0.009827882051467896,0.013674378395080566,-4114.643543559013,178519.08154227937,174717,182573,0.0,0.0
China,0.14274618882219522,5.949991708088721,113770407,123451758,-0.08345308676362037,0.7017382502555805,-0.0033388775465550908,0.14601679587064129,95795002,123451758,-0.07915180921554565,0.05184298753738403,,,0,123451344,,,0.05168210899245439,0.7696296427105163,24285094,123450420,-0.28510970920324324,0.6409044712781846,-2.097800073805987e-05,0.08276382900870519,90558287,123451344,-0.015128910541534424,0.016501784324645996,-8910.094826244214,344036.46829129715,1862902,1868141,0.0,0.0
Colombia,0.014550791904852763,1.3284358960475078,11310134,12041937,0.0,0.00025408192450412627,-0.001928099226615499,0.06923413577111218,10691868,12041937,-0.0072432756423950195,0.0034589946269989458,,,0,12041883,,,-0.006782754995137808,0.1599473984909002,1283886,12041499,-0.025670381262898445,0.023160900454968214,-0.0005197297817637906,0.011629086867675794,11226242,12041883,-0.008295595645904541,0.003958523273468018,-1412.3548930031257,113027.43316208826,282812,284413,0.0,0.0
Comoros,,,0,19650,,,,,0,19650,,,,,0,19642,,,,,0,19635,,,,,0,19642,,,40.15723552178899,3553.4899374959246,109,140,0.0,0.0
Cook Islands,,,0,3972,,,,,0,3972,,,,,0,3975,,,,,0,3971,,,,,0,3975,,,0.0,0.0,5,38,0.0,0.0
Costa Rica,-0.4373722952658552,3.536084266693868,479622,551607,-0.5147049486637114,4.0771627141111806e-07,0.014015199551916773,0.12885098518924115,420081,551607,-0.052638351917266846,0.2419813871383667,,,0,551580,,,0.049623575855495955,0.4138752400150971,178040,551506,-0.37982866168022156,0.6861641794443083,0.0033371979706013407,0.021665229998198334,477188,551580,-0.010064122080802916,0.027485689520835837,-9044.511417147934,246326.32156272666,11255,11667,0.0,600.9315734863261
Croatia,0.7042898875077385,4.881130436932661,613820,850857,-0.09977922588586807,7.454468226432797,-0.006946963926573899,0.14028044366638479,533516,850857,-0.15586911141872406,0.07206465303897858,,,0,850824,,,0.013866273169162273,0.1928138846932242,310913,850850,-0.2051303207874298,0.3411695718765255,-0.0045794385648502385,0.06599750410279524,605763,850824,-0.04164822697639465,0.00970786213874817,-6482.514985274585,57970.38714989717,17317,17697,0.0,0.0
Cuba,0.04955406849352815,0.7393488668428899,979859,1274617,-0.0018167026108130806,0.0567919615656135,-0.0012148910306781667,0.05289359402629211,852084,1274617,-0.01305798292160034,0.0019528806209564015,,,0,1274596,,,0.01201013615576932,0.107957737046533,557024,1274568,-0.022823177650570868,0.10127736702561359,-0.00018868093965343787,0.048518621211172605,956882,1274596,-0.004433152079582214,0.004560351371765137,-397.071420439452,64284.94950329234,26351,27882,0.0,0.0
Cura̤ao,,,0,5269,,,,,0,5269,,,,,0,5267,,,,,0,5263,,,,,0,5267,,,-20062.37019230769,50867.39253684597,52,56,-149034.75,0.0
Cyprus,-0.026270049015847,0.9570247393473633,76576,116347,-0.00051960235578008,0.27033689618110657,0.006650586148877165,0.10558628848456968,60984,116347,-0.03182285055518149,0.03475632593035698,,,0,116347,,,0.0131061775799367,0.0860659840074013,9681,116342,0.0,0.09322014451026917,0.0033345551035298382,0.0878802269250624,76265,116347,-0.0011769533157348633,0.024027466773986816,188.79299363057325,91421.76475084666,1099,1143,0.0,0.0
Czechia,-0.1925556331461637,5.968891126430716,1225270,1274505,-0.3406728446483612,0.826626378297807,0.00029239893077216526,0.14215882054295106,1181737,1274505,-0.08331038951873779,0.0929560065269468,,,0,1274486,,,0.012713497119379103,0.16592315460954438,577599,1274449,-0.01795512251555919,0.042151528969407055,0.0004284233157487429,0.015598675754811239,1213681,1274486,-0.017765820026397705,0.019962012767791748,5599.810023252362,223943.63325457947,20213,20216,0.0,0.0
Democratic Republic of the Congo,0.0031172106583461177,0.12691248716441714,23018834,24620685,-2.4618085831207257e-06,1.0048257991002093e-06,-0.0013832856066360926,0.03140285420134931,22149902,24620685,-0.013441321253776548,0.004444897174835205,,,0,24620623,,,0.0009887659721837473,0.013556278597481979,1272471,24620164,-0.0033672554418444633,0.007648161146789789,-0.0006146123484645431,0.011498575588572424,23348001,24620623,-0.008237659931182861,0.004936337471008301,-390.33941323581394,95796.9221090383,376267,376430,0.0,0.0
Denmark,-0.3561596243995571,3.8883836140317034,475066,824088,-5.08461856842041,1.8082728385925293,-0.007262146904184849,0.12615946179011595,393933,824088,-0.06494500637054443,0.0600842118263242,,,0,824063,,,-0.007705293591018679,0.21971827803218624,471498,824066,-0.13108973428606988,0.008142135106027126,0.0023966391734898465,0.22240615554181145,471707,824063,-0.0037088394165039062,0.01440119743347168,7901.079466423441,126313.89894428063,8771,9528,0.0,0.0
Djibouti,0.030477850687517554,0.2614744340819313,206522,241839,-0.0006881732231704518,7.750291297270291e-05,-0.013496747254282102,0.2004906539995888,67877,241839,-0.5530194520950317,0.1058712482452392,,,0,241836,,,,,0,241791,,,0.0015195604701532407,0.013022438218836295,118949,241836,-0.005162668228149414,0.015927255153655968,-225.26295316008984,8362.889064428671,3117,3186,0.0,0.0
Dominica,,,0,8558,,,,,0,8558,,,,,0,8559,,,,,0,8559,,,,,0,8559,,,0.0,0.0,105,111,0.0,0.0
Dominican Republic,-0.26973347065644665,2.1958895782591994,462231,538996,-1.7047945857048035,0.04519803822040558,0.008721321281555072,0.1079048073961335,427051,538996,-0.05259743332862854,0.1670747697353363,,,0,538970,,,0.03583081878571962,0.2584899017634079,207519,538956,-0.2832010388374328,0.4465952515602112,0.005364495006485806,0.019330362232646,454743,538970,-0.006772392988204952,0.03918788433074946,5656.319693339722,225252.50354403935,10435,10671,0.0,246.03112030028927
East Timor,-0.005445326119184385,0.7952965487916476,54675,161043,-0.02991512306034563,8.213288140267474e-07,-2.6527175568876632e-05,0.029264605897048424,46765,161043,-0.0030574917793273924,0.006387138366699128,,,0,161043,,,6.237903450591025e-05,0.0009805087561896115,88115,161076,-0.0007774241094011814,0.0011564820306375623,0.003267830285738199,0.017734137349831324,122373,161043,-0.011516916751861572,0.033233308792114245,-27.01575039748637,1618.4467332028594,3302,3701,0.0,0.0
Ecuador,-0.04460902083923284,1.1517274400893651,2464894,2711394,-0.00023144788501667788,0.0,0.0013164178661255138,0.0661329673774203,2307373,2711394,-0.005599033832550048,0.009718441963195795,,,0,2711385,,,0.009922969453228724,0.09037603813985166,410495,2711296,-0.023933321237564087,0.06807523220777512,0.0007877063795454876,0.10551760525520006,2442711,2711385,-0.006273776292800903,0.010374665260314941,-1442.1215862646852,95697.34418233891,58477,58971,0.0,0.0
Egypt,-0.00993534811297172,1.0650684838248359,10381005,11573984,0.0,0.0,-0.005707290091770207,0.09249087156244566,503588,11573984,-0.002867099642753601,0.0,,,0,11573886,,,0.7305441569248862,2.695652578878293,100341,11573682,-0.09333451837301254,3.426349401473999,0.0013087559591879376,0.008778396041567644,389459,11573886,-0.0006396472454071041,0.011477386951446525,-32685.898263395604,790566.2902055314,47161,47935,0.0,0.0
El Salvador,-0.11106536578570292,1.3078557779609028,188430,222128,-0.33321645408868783,0.0,0.01883827070462521,0.09112573187974693,168987,222128,-0.014066267013549804,0.22403365969657832,,,0,222127,,,0.06295588207065689,0.13867029087118007,69190,222107,-0.035707520134747026,0.35624805092811584,0.008438717423343501,0.01834306969282028,185723,222127,-9.22083854675293e-05,0.040547758340835564,47236.944182918625,373359.8151174836,2974,3274,0.0,169113.83281249984
Equatorial Guinea,0.00039893518169064376,0.06476041416760293,236630,286177,0.0,0.0,0.00016594491273767552,0.011873626732235827,209130,286177,0.0,0.0,,,0,286176,,,-0.0016987344800211634,0.015894290082055007,9179,286163,-0.025307151116430757,0.01601491868495941,-0.0005899764903659673,0.008883208009633395,250077,286176,-0.007370352745056151,0.0006033062934875447,-31.620534179956007,652.765354388543,3637,3670,0.0,0.0
Eritrea,0.025868699347633563,0.3215004230401543,1213850,1320015,-0.0016618172696325926,0.0003343172429595176,0.005976959503497309,0.16477106603555736,1019355,1320015,-0.028924101591110207,0.08696709275245654,,,0,1320016,,,6.097058444906084e-06,0.000367092520613638,242455,1319936,-0.00024395553919021037,0.00014774329902138522,0.003370670568399314,0.01384393346265827,814279,1320016,-0.004948943853378296,0.025365024805068963,71.57508876092729,21655.24666330325,33517,33863,0.0,0.0
Estonia,0.5252518198560164,2.4101921041628938,735223,928666,0.0,4.296322250366211,-0.014950447400992009,0.13055555127638455,647776,928666,-0.25528276711702347,0.06959569454193115,,,0,928650,,,-0.002946061966254271,0.13634069313884106,228866,928658,-0.009666338562965393,0.005763605702668428,-0.004296047891695282,0.08816012206345421,700093,928650,-0.023789525032043457,0.00018739700317382812,-4201.551082802548,36791.884178634384,11775,11998,-15134.857714843749,0.0
Ethiopia,-0.09795434660820007,0.5928501610309255,11566720,12032719,-0.9234296590089797,3.3423811692040684e-05,0.008427686215125244,0.07338097961875925,10954521,12032719,-0.017567574977874756,0.07922768592834473,,,0,12032635,,,0.0001024913871444499,0.003226871878225669,2231252,12032372,-0.0018294237612280994,0.0027184320380910718,0.004110963392401064,0.016349229505110575,11194042,12032635,-0.003513157367706299,0.03040110468864432,1873.6544649476068,98087.5063677507,149733,149733,0.0,0.0
Falkland Islands,-0.016954312212176192,0.12136991247368331,48003,222071,-0.06222553178668022,0.0,0.0016148180820097942,0.01564065944455281,30495,222071,0.0,0.011180460453033447,,,0,222046,,,,,0,222051,,,-6.941428251450978e-05,0.003931683799083414,46728,222046,-0.0007683902978897097,0.0010432600975036621,0.7304645374145744,36.578942410690686,2579,3089,0.0,0.0
