subregion,min_pollination_diff_1992_2020,max_pollination_diff_1992_2020,count_pollination_diff_1992_2020,nodata_count_pollination_diff_1992_2020,valid_count_pollination_diff_1992_2020,sum_pollination_diff_1992_2020,stdev_pollination_diff_1992_2020,p5_pollination_diff_1992_2020,p95_pollination_diff_1992_2020,min_sed_ret_ratio_diff_1992_2020,max_sed_ret_ratio_diff_1992_2020,count_sed_ret_ratio_diff_1992_2020,nodata_count_sed_ret_ratio_diff_1992_2020,valid_count_sed_ret_ratio_diff_1992_2020,sum_sed_ret_ratio_diff_1992_2020,stdev_sed_ret_ratio_diff_1992_2020,p5_sed_ret_ratio_diff_1992_2020,p95_sed_ret_ratio_diff_1992_2020,min_sed_export_diff_1992_2020,max_sed_export_diff_1992_2020,count_sed_export_diff_1992_2020,nodata_count_sed_export_diff_1992_2020,valid_count_sed_export_diff_1992_2020,sum_sed_export_diff_1992_2020,stdev_sed_export_diff_1992_2020,p5_sed_export_diff_1992_2020,p95_sed_export_diff_1992_2020,min_coastal_risk_esa_diff_1992_2020,max_coastal_risk_esa_diff_1992_2020,count_coastal_risk_esa_diff_1992_2020,nodata_count_coastal_risk_esa_diff_1992_2020,valid_count_coastal_risk_esa_diff_1992_2020,sum_coastal_risk_esa_diff_1992_2020,stdev_coastal_risk_esa_diff_1992_2020,p5_coastal_risk_esa_diff_1992_2020,p95_coastal_risk_esa_diff_1992_2020,min_usle_diff_1992_2020,max_usle_diff_1992_2020,count_usle_diff_1992_2020,nodata_count_usle_diff_1992_2020,valid_count_usle_diff_1992_2020,sum_usle_diff_1992_2020,stdev_usle_diff_1992_2020,p5_usle_diff_1992_2020,p95_usle_diff_1992_2020,min_n_ret_ratio_diff_1992_2020,max_n_ret_ratio_diff_1992_2020,count_n_ret_ratio_diff_1992_2020,nodata_count_n_ret_ratio_diff_1992_2020,valid_count_n_ret_ratio_diff_1992_2020,sum_n_ret_ratio_diff_1992_2020,stdev_n_ret_ratio_diff_1992_2020,p5_n_ret_ratio_diff_1992_2020,p95_n_ret_ratio_diff_1992_2020,min_n_retention_diff_1992_2020,max_n_retention_diff_1992_2020,count_n_retention_diff_1992_2020,nodata_count_n_retention_diff_1992_2020,valid_count_n_retention_diff_1992_2020,sum_n_retention_diff_1992_2020,stdev_n_retention_diff_1992_2020,p5_n_retention_diff_1992_2020,p95_n_retention_diff_1992_2020,min_nature_access_diff_1992_2020,max_nature_access_diff_1992_2020,count_nature_access_diff_1992_2020,nodata_count_nature_access_diff_1992_2020,valid_count_nature_access_diff_1992_2020,sum_nature_access_diff_1992_2020,stdev_nature_access_diff_1992_2020,p5_nature_access_diff_1992_2020,p95_nature_access_diff_1992_2020,min_n_export_diff_1992_2020,max_n_export_diff_1992_2020,count_n_export_diff_1992_2020,nodata_count_n_export_diff_1992_2020,valid_count_n_export_diff_1992_2020,sum_n_export_diff_1992_2020,stdev_n_export_diff_1992_2020,p5_n_export_diff_1992_2020,p95_n_export_diff_1992_2020
Middle Africa,-13.514795,13.514779,70170614,45033,70125581,34221.3,0.0408210566063517,0.0,0.0,nan,nan,70171457,0,70171457,nan,nan,nan,nan,-114580.07,241917.88,70171457,8071627,62099830,1.6065475e+08,212.761194014963,-0.14184442758560167,0.43110735416411927,-3.8548644,4.340423,70169443,70163689,5754,1683.3313,0.5356934637403318,-0.3180091381072998,1.0080991983413696,-743236.0,590279.8,70171457,7911581,62259876,7.273373e+08,1206.8610796488024,0.0,0.0,nan,nan,70171896,0,70171896,nan,nan,nan,nan,-298.7377,382.1289,70171906,4104755,66067151,8.407056e+06,4.714714440122373,-0.0017242431640625,0.44851112365722656,-1.1175986e+07,1.1169647e+07,1025292,2770,1022522,-8.797793e+08,103552.78738472497,0.0,0.0,-195.00288,147.50467,70171906,4104755,66067151,1.3962902e+06,1.7814079815493926,-0.32769590616226196,0.005718231201171875
Northern Africa,-283.67905,438.51733,88949840,75965,88873875,1.7252441e+06,1.1825348521703039,0.0,0.0,nan,nan,88950658,0,88950658,nan,nan,nan,nan,-19520.166,16578.176,88950658,69309693,19640965,-2.6769678e+06,76.94123679266984,-1.185537147521972,0.8412796020507827,-3.3573806,3.8786592,88947376,88943298,4078,437.36874,0.6858443541654734,-0.22134006023406982,0.4439394474029541,-102203.555,68391.85,88950658,69015538,19935120,-4.841125e+06,337.4309656837375,0.0,0.0,nan,nan,88950639,0,88950639,nan,nan,nan,nan,-3467.097,3861.5764,88950618,6382168,82568450,6.561588e+07,24.96004509841778,0.0,3.1962990760803223e-06,-3.6478548e+07,6.8969305e+06,1101258,3500,1097758,-2.2387738e+09,191970.02971690282,0.0,0.0,-1529.9409,1756.9318,88950618,6382168,82568450,3.1842296e+07,10.525809061765782,0.0,0.0
Northern America,-967.0096,952.87646,453983517,4736133,449247384,2.287285e+06,1.3620566989818708,0.0,0.0,nan,nan,218051517,0,218051517,nan,nan,nan,nan,-51552.434,52183.81,218051517,27201503,190850014,8.429286e+07,59.83401522482542,-0.03057241439819336,0.1377537459135052,-9.295665,7.005733,437488488,437311219,177269,-1636.0419,0.7400525927621565,-1.0436644554138184,1.043664574623108,-299283.84,329054.8,218051517,22778061,195273456,7.203634e+08,456.1690814526241,0.0,0.0,nan,nan,218051482,0,218051482,nan,nan,nan,nan,-3658.3066,4764.491,218051481,28464206,189587275,7.632731e+07,51.855564900836875,-0.02239990234375,0.02490234375,-1.6292194e+07,1.6300829e+07,5326088,110878,5215210,-2.5794474e+10,167926.2287211262,0.0,0.0,-1144.5358,2148.707,218051481,28464206,189587275,2.5279336e+07,10.833851953052829,-0.0007121562957763672,0.1438436508178711
Northern Europe,-30.153698,30.151955,42494653,651509,41843144,875820.9,1.1744618287422857,0.0,0.0,nan,nan,13894427,0,13894427,nan,nan,nan,nan,-5859.6543,17977.625,13894427,4555365,9339062,2.2660735e+06,23.084231403701626,-0.10401628427207468,0.16020816564559937,-7.9155126,6.3068576,42493968,42201609,292359,7525.8906,0.6628709202384664,-0.8126815557479858,0.9910465478897095,-44433.418,56127.246,13894427,3177925,10716502,1.4623426e+07,151.13880233101,0.0,0.0,nan,nan,13894449,0,13894449,nan,nan,nan,nan,-1284.3083,1184.1382,13894451,4780026,9114425,1.4118257e+07,84.25040384158781,-3.7580940246582033,3.4085784912109247,-1.4022482e+07,1.3402424e+07,427462,12816,414646,-3.391018e+09,260030.01848234923,0.0,0.0,-662.54346,589.97736,13894451,4780026,9114425,9.239971e+06,22.96866808352806,-0.5550033569335937,3.7028900146484034
Polynesia,0.0,0.0,111905,111834,71,0.0,0.0,0.0,0.0,nan,nan,111903,0,111903,nan,nan,nan,nan,,,111903,111903,0,0.0,,,,-1.4305115e-06,9.536743e-07,111904,111682,222,-2.7239323e-05,4.0263679191182267e-07,-4.76837158203125e-07,4.76837158203125e-07,,,111903,111903,0,0.0,,,,nan,nan,111885,0,111885,nan,nan,nan,nan,,,111887,111887,0,0.0,,,,0.0,0.0,1447,656,791,0.0,0.0,0.0,0.0,,,111887,111887,0,0.0,,,
Seven seas (open ocean),0.0,0.0,222043,221906,137,0.0,0.0,0.0,0.0,nan,nan,219869,0,219869,nan,nan,nan,nan,,,219869,219869,0,0.0,,,,,,215040,215040,0,0.0,,,,,,219869,219869,0,0.0,,,,nan,nan,215039,0,215039,nan,nan,nan,nan,,,222071,222071,0,0.0,,,,0.0,0.0,2786,1926,860,0.0,0.0,0.0,0.0,,,222071,222071,0,0.0,,,
South America,-306.74994,306.81973,199668024,1266924,198401100,93911.8,0.6839500722643631,0.0,0.0,nan,nan,199669348,0,199669348,nan,nan,nan,nan,-218854.97,271441.12,199669348,11323141,188346207,-1.5223206e+08,242.1139568419688,-0.84326171875,2.1195970296859485,-7.121056,5.3824525,199666306,199568418,97888,-18494.09,0.6108502508886611,-0.9755119830369947,0.4742400050163269,-910662.25,1.02808956e+06,199669348,8440355,191228993,3.2432563e+08,1490.8449612438712,0.0,0.0,nan,nan,199669193,0,199669193,nan,nan,nan,nan,-3590.4229,3921.202,199669610,14138415,185531195,3.8135277e+08,51.82860364862043,-0.1353912353515625,3.9604835510253906,-2.2777684e+07,2.2586976e+07,4297307,31003,4266304,-4.8312596e+09,154718.94537716729,0.0,0.0,-1741.0474,1689.3677,199669610,14138415,185531195,4.9304664e+07,8.621584503772933,-0.011943817138671875,1.7355661392211914
South-Eastern Asia,-19.141186,19.634392,48557756,534304,48023452,745167.06,0.4888031338770933,-0.12433319389820094,0.14649427980184382,nan,nan,48558189,0,48558189,nan,nan,nan,nan,-154951.67,308995.28,48558189,5713855,42844334,3.856628e+08,652.864938152653,-10.764764308929443,18.541596794128424,-5.383806,5.538904,48557524,48433706,123818,-1705.9525,0.7635101561999118,-1.107589381933212,0.9951236486434921,-691196.6,832313.3,48558189,1848084,46710105,5.3595366e+08,4061.19274102249,0.0,63.43119201660153,nan,nan,48558362,0,48558362,nan,nan,nan,nan,-1709.7615,1739.0648,48558341,7526842,41031499,1.7052637e+08,138.25553276401646,-6.029797363281249,8.291753387451195,-2.968412e+07,2.0944406e+07,951988,33037,918951,-4.9593056e+08,278801.3440435431,-0.28641755878925323,0.0,-811.84894,892.42096,48558341,7526842,41031499,4.7445304e+07,24.24360367218915,-0.9356808662414551,5.589658737182646
Southern Africa,-35.952312,51.360096,31173611,28069,31145542,44469.008,0.19276415947556436,0.0,0.0,nan,nan,31173464,0,31173464,nan,nan,nan,nan,-61706.965,52166.047,31173464,1655437,29518027,2.4516716e+07,86.21245869545696,-0.24440383017063133,0.652198427915571,-3.0232944,3.094246,31173404,31170831,2573,104.10549,0.6018701380754192,-1.0106624126434327,0.9973363876342773,-203090.6,172331.92,31173464,1504502,29668962,8.1113336e+07,379.47540505627626,0.0,0.0,nan,nan,31173604,0,31173604,nan,nan,nan,nan,-991.9866,1036.5084,31173596,1884414,29289182,3.5190576e+07,32.16682017760375,-0.005464540794491756,1.6306493759155245,-1.2291665e+07,1.1960544e+07,547213,2264,544949,-5.2351155e+09,295972.4320466941,0.0,0.0,-576.8777,575.76465,31173596,1884414,29289182,1.2309994e+07,8.372283620935264,-0.4032935142517089,0.8250882565975171
Southern Asia,-34.51028,86.80717,79702576,130942,79571634,1.7455028e+06,0.6486750166509837,0.0,0.0,nan,nan,79703144,0,79703144,nan,nan,nan,nan,-107848.805,144528.03,79703144,18382404,61320740,-1.4297694e+08,310.1569814475714,-2.7461822032928467,0.9399940967559672,-3.829067,4.829785,79701842,79692397,9445,13.161291,0.42762319995477727,-0.6351632833480834,0.3704932928085327,-750122.7,774427.44,79703144,17614711,62088433,-1.2401193e+09,1781.4158897226678,0.0,0.0,nan,nan,79703392,0,79703392,nan,nan,nan,nan,-7465.876,4997.258,79703387,6057183,73646204,-8.986303e+06,74.06055216393314,-0.16693277359008718,0.00842350870370856,-2.810159e+07,2.6905638e+07,1355215,27824,1327391,-5.8943063e+09,308288.39078930713,0.0,0.0,-2658.8657,2000.9116,79703387,6057183,73646204,2.8550142e+07,19.202159793258176,-0.0033799715340137454,0.4380948066711312
Southern Europe,-41.376972,41.94219,18494127,215597,18278530,529114.9,1.4804308064342082,-0.053815529309213156,0.0279746495187288,nan,nan,18494015,0,18494015,nan,nan,nan,nan,-62971.99,70795.41,18494015,1700610,16793405,-1.1795816e+07,188.34922133938673,-8.88436508178711,5.936328506469716,-4.73165,4.3036737,18491876,18478249,13627,484.44635,0.6671950056235917,-0.6102936267852783,0.7516117095947266,-229523.89,258168.55,18494015,475001,18019014,-7.1354856e+07,1113.1500085698265,0.0,0.0,nan,nan,18494239,0,18494239,nan,nan,nan,nan,-2550.702,2800.5137,18494241,2546369,15947872,4.2925284e+07,112.11996267612271,-4.338323879241942,3.4990913391113168,-7.1958615e+06,7.504298e+06,299747,6668,293079,-1.1868091e+09,239551.53853126016,0.0,0.0,-1250.0198,1205.2302,18494241,2546369,15947872,1.8108392e+07,28.109294266992535,-0.7724616527557373,3.8035759925842285
Western Africa,-39.44966,49.958046,66121103,107468,66013635,838561.5,0.3084224393143381,0.0,0.0007952890300657366,nan,nan,66121581,0,66121581,nan,nan,nan,nan,-80371.62,78706.82,66121581,26781388,39340193,3.9030908e+07,120.48626534148612,-2.622591686248779,5.508315944671615,-4.475173,4.2692447,66114442,66103848,10594,-225.61694,0.6920237113446331,-0.8269795179367065,0.7200709581375122,-445456.4,459788.75,66121581,26391611,39729970,2.5480406e+08,787.2228922098343,-2.1791415929793803,1.7041729450222647,nan,nan,66122182,0,66122182,nan,nan,nan,nan,-301.63654,270.03036,66122194,3939532,62182662,4.8977304e+07,9.1388278849652,-0.00316619873046875,5.321006393432583,-2.0185162e+07,2.0132924e+07,689248,38169,651079,-2.035472e+09,181844.42256112135,0.0,0.0,-121.20322,142.76004,66122194,3939532,62182662,2.3182722e+06,3.338935969566992,-2.6532533884048455,0.8874801397323502
Western Asia,-77.34182,111.60392,54536336,94880,54441456,1.2793922e+06,0.8799398834328228,0.0,0.0,nan,nan,54536791,0,54536791,nan,nan,nan,nan,-49297.734,51181.34,54536791,32972820,21563971,-3.4795444e+07,131.62005676176472,-7.14199686050415,1.6610565185546875,-4.321663,5.0942407,54535521,54528167,7354,-759.83246,0.7394791413972795,-1.1763451099395752,0.31928727626799547,-327257.22,169476.36,54536791,32297628,22239163,-1.2433795e+08,587.8258246456213,0.0,0.0,nan,nan,54537087,0,54537087,nan,nan,nan,nan,-3679.3494,5786.467,54537086,4945912,49591174,1.3623296e+07,51.729912060636096,-0.0006047537550330166,1.9390136003494263e-06,-1.510431e+07,1.5110377e+07,995813,6711,989102,-1.2132919e+09,116674.17491781373,0.0,0.0,-1832.8427,1973.1049,54537086,4945912,49591174,2.0306682e+07,18.418291077017315,-4.889443516731262e-09,0.00101460881996902
Western Europe,-116.322395,153.81773,18423254,138383,18284871,1.0795925e+06,1.8778965450293814,0.0,0.007121078670024872,-0.06623465,0.026479006,18423537,0,18423537,nan,nan,nan,nan,-39209.05,32584.19,18423537,787872,17635665,4.366098e+07,101.99739284745753,-0.7378959655761719,1.29757559299469,-5.0665007,4.759324,18418461,18404576,13885,-802.3939,0.5399336460551556,-0.813133955001831,0.5054599046707153,-147157.3,175622.48,18423537,331932,18091605,1.4552962e+08,574.891625701361,0.0,0.0,nan,nan,18423706,0,18423706,nan,nan,nan,nan,-2103.7458,2728.3655,18423704,1462025,16961679,-2.1090318e+08,148.74181726542267,-6.912928009033201,1.8311492919921761,-1.2158431e+07,1.2153401e+07,249596,2096,247500,1.1843864e+09,379112.1098124345,0.0,0.0,-929.65247,932.295,18423704,1462025,16961679,-3.6108212e+07,34.965892832956975,-1.6392938613891592,2.57918000221252
