nev_name,avg_sed_ret_ratio_diff_1992_2020,stdev_sed_ret_ratio_diff_1992_2020,valid_count_sed_ret_ratio_diff_1992_2020,count_sed_ret_ratio_diff_1992_2020,p5_sed_ret_ratio_diff_1992_2020,p95_sed_ret_ratio_diff_1992_2020,avg_sed_export_diff_1992_2020,stdev_sed_export_diff_1992_2020,valid_count_sed_export_diff_1992_2020,count_sed_export_diff_1992_2020,p5_sed_export_diff_1992_2020,p95_sed_export_diff_1992_2020,avg_coastal_risk_esa_diff_1992_2020,stdev_coastal_risk_esa_diff_1992_2020,valid_count_coastal_risk_esa_diff_1992_2020,count_coastal_risk_esa_diff_1992_2020,p5_coastal_risk_esa_diff_1992_2020,p95_coastal_risk_esa_diff_1992_2020,avg_usle_diff_1992_2020,stdev_usle_diff_1992_2020,valid_count_usle_diff_1992_2020,count_usle_diff_1992_2020,p5_usle_diff_1992_2020,p95_usle_diff_1992_2020,avg_polllination_diff_1992_2020,stdev_polllination_diff_1992_2020,valid_count_polllination_diff_1992_2020,count_polllination_diff_1992_2020,p5_polllination_diff_1992_2020,p95_polllination_diff_1992_2020,avg_n_ret_ratio_diff_1992_2020,stdev_n_ret_ratio_diff_1992_2020,valid_count_n_ret_ratio_diff_1992_2020,count_n_ret_ratio_diff_1992_2020,p5_n_ret_ratio_diff_1992_2020,p95_n_ret_ratio_diff_1992_2020,avg_n_retention_diff_1992_2020,stdev_n_retention_diff_1992_2020,valid_count_n_retention_diff_1992_2020,count_n_retention_diff_1992_2020,p5_n_retention_diff_1992_2020,p95_n_retention_diff_1992_2020,avg_nature_access_diff_1992_2020,stdev_nature_access_diff_1992_2020,valid_count_nature_access_diff_1992_2020,count_nature_access_diff_1992_2020,p5_nature_access_diff_1992_2020,p95_nature_access_diff_1992_2020,avg_n_export_diff_1992_2020,stdev_n_export_diff_1992_2020,valid_count_n_export_diff_1992_2020,count_n_export_diff_1992_2020,p5_n_export_diff_1992_2020,p95_n_export_diff_1992_2020
Armenia,-0.0001607570865504223,0.02315137440891917,378642,407527,-0.03319002091884613,0.02629717290401461,0.06144474854207839,105.4174335641211,391139,407527,-19.02199363708496,20.395152664184536,,,0,407459,,,4.470957782332885,440.9148399134883,391258,407527,0.0,0.0,0.07437238202613702,0.840441556085842,193136,407481,-0.30024510622024536,0.48042289912700653,0.0029856506826700544,0.06426102856370408,372675,407551,-0.08591818213462829,0.07497430443763732,0.676982255752431,16.09446558879331,392747,407551,-4.30303077697754,4.2525085449218825,-1776.9126266280753,65219.19693640366,5528,5528,0.0,0.0,0.29473671584378747,4.576391211094862,392747,407551,-1.460962247848511,4.902570676803589
Aruba,,,0,2158,,,,,0,2158,,,-0.0014440311539557673,0.04765075865466928,31,2155,-0.005751412827521563,0.060738980770111084,1.6137156767003678,17.354571527245483,1428,2158,0.0,10.932303380966173,,,0,2152,,,,,0,2158,,,,,0,2158,,,-24534.441964285714,46979.88025057364,14,18,-114494.0625,0.0,,,0,2158,,
Australia,0.000591068707803758,0.009403169243143614,82800620,90344656,-0.00924593210220337,0.013350248336791992,0.03058032889511688,13.847923073843107,87246233,90344656,-0.30246481895446764,0.12422868013381905,-0.12969497042933964,0.586623465451303,21223,90343794,-1.3189968705177306,0.6170266270637512,0.16496374821042134,99.84099899540595,88936437,90344656,0.0,0.0,0.019070400280898875,1.5707106366969397,4781080,90344679,-0.010135840624570847,0.023015004210174054,-0.0005482606582668624,0.04114817607659928,82022388,90344836,-0.01701084673404693,0.03421187400817871,1.1821499108955276,19.99869232506788,83851010,90344628,-0.6262151718139641,5.152294158935547,-713.5565732208303,54636.76558852165,1909163,1925647,0.0,0.0,0.1914866976557587,4.6520283437124474,83851010,90344628,-1.7380076766014099,1.808253288269043
Austria,-0.006039579044151969,0.020215421094166623,1231842,1300963,-0.043561178445816036,0.008728444576263428,7.352275709381132,133.79167512804938,1291795,1300963,-1.1305686950683589,24.051962661743193,,,0,1300859,,,32.810817756900825,898.5513177401614,1291802,1300963,0.0,22.80499782562244,0.18783467837798726,3.1925951991081982,241860,1300921,-0.9327798575162887,1.3604209423065186,-0.005926205662058994,0.06355379692611124,1233287,1300983,-0.07976073622703551,0.018528282642364502,1.1463701621166713,144.32144054825196,1245276,1300983,-6.323832035064697,7.42431640625,-4212.666789736017,213834.09156646542,16251,16253,0.0,0.0,1.4240578996142221,40.001432357816746,1245276,1300983,-0.15090179443359375,7.752264022827148
Azerbaijan,0.0011347370924869717,0.015825745277531944,1058072,1190068,-0.011862072348594661,0.01637279987335205,0.49675720802053497,92.01327476292074,1116534,1190068,-9.361290645599365,3.4081787109374915,,,0,1189948,,,1.673560439824386,485.5026566791488,1165738,1190068,0.0,0.0,0.004032589354992659,0.34003029269466756,441010,1190000,-0.22460505589842794,0.2433618016541001,-0.0005777173150153463,0.05938810678718109,1048054,1190083,-0.06805607080459594,0.05271341204643247,0.525223970052219,9.678819989215986,1065321,1190084,-0.44524383544921875,3.4154586791992188,-4338.929740333489,114301.7890951186,19371,19609,0.0,0.0,0.04694268059814835,3.101600794437648,1065321,1190084,-1.5690975189208984,0.9156284332275391
Bahrain,,,0,8591,,,,,0,8591,,,-0.019784763772436913,0.3620751612015673,94,8594,-0.617358922958374,0.5431552767753601,-8.685335081652479,21.24371311583597,1351,8591,-41.02289009094238,0.0,1.966479425844939,1.4106626014918988,23,8597,0.7482773065567017,4.275881147384643,,,0,8592,,,,,0,8592,,,0.0,0.0,105,135,0.0,0.0,,,0,8592,,
Bangladesh,0.00017774349724481998,0.006362257445004331,1157924,1617221,-0.0018609076738357543,0.004106402397155762,-0.22949385830438,16.381185067031243,1292884,1617221,-0.6635411024093627,0.21959648132324006,0.0231100118385171,0.5212616909021549,636,1617170,-0.2832798957824707,0.25332504510879517,-4.165867980766698,207.27072217320807,1480557,1617221,0.0,0.0,0.08513841755717702,0.8868230203421598,463779,1617233,-0.8604453802108765,1.527709078788756,0.027918443326707464,0.05076982523936484,1175192,1617244,-0.009467476606369018,0.0763741135597229,-2.904054881375733,142.96587466701337,1246288,1617243,-12.339077758789058,2.352456665039057,200.66427315794178,375352.56143282563,33563,34221,0.0,0.0,0.35007814205063353,34.057641381333156,1246288,1617243,-3.652845573425291,8.037417984008737
Barbados,,,0,5028,,,,,0,5028,,,0.14695539474487304,0.06901679419688878,5,5025,0.06532940864562989,0.24077944755554198,-83.33369308007163,619.2551320196986,3909,5028,-349.7057983398437,0.0,,,0,5025,,,,,0,5026,,,,,0,5026,,,-13014.400297619048,58202.16757653979,21,27,0.0,0.0,,,0,5026,,
Belarus,0.0010782952472016538,0.01591328361862636,3413132,3638267,-0.01327579021453857,0.020998477935791016,-0.017338074974617666,0.48845401035263675,3628508,3638267,-0.18220913410186768,0.08246705792844243,,,0,3638088,,,-0.14347647331906116,4.026609277830125,3628508,3638267,-1.1710404574871063,0.0,0.039726371462026455,1.8429853747690352,1885260,3638184,-2.057090854644775,3.613995313644409,0.025284328090057186,0.05857964163483419,3432841,3638322,-0.018579483032226562,0.10300111770629883,-0.24283092727496722,47.674922461857314,3465973,3638322,-7.90631103515625,9.295867919921875,4911.388282754195,133089.8472273071,32721,32721,0.0,3565.444580078125,0.19105984091624487,12.46751443582504,3465973,3638322,-8.189611625671386,6.717153549194336
Belgium,0.0003739616938113176,0.01109858517795435,470858,507073,-0.01297444999217987,0.011908859014511088,-0.03982414951449328,5.07956798226206,497058,507073,-0.41763381958007806,0.19246305972337646,0.05716055982253131,0.07238974757326605,68,506985,-0.018945634365081787,0.19521194696426392,-0.13319767986649453,31.08234498451503,504249,507073,-3.145399570465088,0.0,0.34433583463175915,2.522559816834169,227840,507054,-0.014603046327829348,2.034104406833644,0.026200780390932377,0.06800795983112144,471987,507102,-0.02296913862228393,0.1047223269939422,-31.85911128093512,207.26210796117556,473693,507102,-505.9652038574216,6.146102142333983,-4931.501246882793,152393.0376582447,1203,1203,0.0,0.0,-6.006559100514468,47.815993250974,473693,507102,-46.01176071166992,4.0740509033203125
Belize,-0.0033103578490809977,0.012026654381210677,203978,246851,-0.018048810958862304,0.00022415816783904856,1.7491436896782069,24.096071760229933,217065,246851,-0.00040519423782825427,3.656803655624388,0.18859467112689937,0.41807488525016345,545,246827,-0.05961966514587402,0.9264034271239829,21.254368262402288,291.76769123874317,234876,246851,0.0,61.11684036254883,0.0034965184965418967,0.36126287915322086,30987,246866,-0.5351452827453613,0.6798879384994497,-0.0054452428253404855,0.046917062480739825,205405,246858,-0.053024554252624506,0.010263681411743122,7.815530984459925,58.98851828775754,209008,246858,0.0,8.79275608062744,260.8933390198511,2532.2906763568335,403,523,0.0,0.0,1.3222723532113603,10.215449120807294,209008,246858,0.0,1.779482591152189
Benin,0.0029668058533702,0.01455302522537005,1185575,1233483,-0.016685009002685547,0.027010852098465002,-0.3054723034587151,18.764226290066695,1224819,1233483,-5.911962985992432,5.440398693084663,,,0,1233415,,,0.23347578454947024,153.80409654603918,1227233,1233483,-37.682239532470696,22.51773452758738,0.01703320914050469,0.16472267276779828,400008,1233392,-0.14099668785929678,0.23247326537966628,0.01856080659974025,0.04350843855874661,1176516,1233481,-0.017567574977874756,0.08751405775547028,4.827673509731591,32.70348342404045,1185726,1233474,-4.8890228271484375,20.163984298706055,-4460.780414538901,162782.11119587015,6658,6740,0.0,0.0,-0.4420901993799579,8.922613412110952,1185726,1233474,-11.64137315750122,12.186990737915039
Bermuda,,,0,946,,,,,0,946,,,,,0,946,,,,,0,946,,,,,0,949,,,,,0,949,,,,,0,949,,,,,0,19,,,,,0,949,,
Bhutan,0.0031349080974774996,0.014707476799358054,432101,458370,-0.001911163330078125,0.027443647384643555,-40.879208881608236,790.7422923361064,449288,458370,-46.227327919006335,0.15671688318252558,,,0,458286,,,-412.0680099802576,5068.9678907558355,449287,458370,0.0,0.0,0.00243734853936467,0.4617950829807087,16812,458316,-0.04718659818172455,0.04653699062764606,0.00044865011215179044,0.01906478408074322,431861,458376,-0.0003572702407836914,4.172325134277344e-06,-0.7047129897292502,25.12901755302748,444174,458375,-6.866455078125e-05,0.0,-16.603090285055544,930.3383946771864,4771,4771,0.0,0.0,-0.23785238161171074,5.776610002727681,444174,458375,-0.0675493717193601,0.0
Bolivia,-0.0024975829426236735,0.01407717394154074,10867618,11927288,-0.02138234078884125,0.007308551669120811,-1.5699164723478756,267.683256449032,11581913,11927288,-2.6812297821044933,3.514779281616212,,,0,11927035,,,1.549446922286004,1364.1516813806554,11585352,11927288,0.0,13.702444124221781,-0.06656799666653772,0.5170143453711893,620376,11927061,-0.5667732805013657,0.3542993739247322,-0.001365203625000126,0.04970224738691053,10915841,11927333,-0.0286141037940979,0.014458537101745605,0.38740026188723353,6.52977963981081,11255226,11927331,-0.6552677154541016,2.9089314937591553,-3200.7826719581813,75478.66870762709,259787,259787,0.0,0.0,0.1480445839115092,1.5462286100853826,11255226,11927331,-0.007605016231536865,1.185461938381195
"Bonaire, Sint Eustatius and Saba",,,0,3493,,,,,0,3493,,,-0.0022241086290593734,0.21035825944334252,57,3495,0.0013098716735839844,0.15987648963928203,0.7172052948013867,8.013547922486945,1929,3493,0.0,0.0,,,0,3498,,,,,0,3495,,,,,0,3494,,,-1068.231919642857,4339.178657649279,35,49,-5608.217578124997,0.0,,,0,3494,,
Bosnia and Herzegovina,nan,nan,657199,744906,-0.06234550476074219,0.010782968997955292,5.442541799083112,223.65886198015008,703903,744906,-3.3113383293151855,30.316864013671875,,,0,744800,,,17.865022244338448,1260.8258504942091,741537,744906,0.0,46.50758666992187,0.1289413698816527,0.9640057301771788,215890,744861,-0.9764969617128372,2.2874272108078,-0.008695089853855462,0.05038996915441967,659065,744940,-0.10241945981979368,0.023426389694213838,6.0426638878534575,47.4352227474325,662633,744940,-10.722668457031252,15.552917098999064,-373.653960312076,35646.298641353824,2948,2952,0.0,0.0,2.5528256214224165,13.365831683447478,662633,744940,-0.15865383148193368,22.256399536132818
Botswana,0.00047878572032092207,0.004031241632111405,5969066,6564545,-0.0007610917091369629,0.005236268043518066,-0.013197581151572503,1.7571636290029407,6505296,6564545,-0.027743205428123474,0.00302322581410408,,,0,6564637,,,-0.2230465218405063,21.784590907819556,6510426,6564545,0.0,0.0,-3.5747715818355845e-05,0.00580491179209054,150603,6564399,-0.00012665442773140967,0.0002137470393790861,0.0047430186263924924,0.019009710791370076,5888902,6564583,0.0,0.0508691042661667,0.14574697866539224,1.9148495775409065,5890195,6564619,0.0,1.939088058471679,-2492.906183870209,35464.91194041801,12759,12759,0.0,0.0,-0.23127451637849,0.9354709545506035,5890195,6564619,-2.1885636568069455,0.0
Brazil,-0.001623583662033892,0.012775066338904508,86339474,92076766,-0.020304560661315918,0.006984055042266846,-0.3158369237308754,95.32441806930217,90366502,92076766,-1.08282470703125,4.490595316886903,-0.24198633499814987,0.5669932371625097,66211,92075793,-0.9675086736679077,0.26022958755493164,5.964928310230057,724.6483970072552,90876146,92076766,0.0,28.428214073181152,0.00975775193390132,0.633553534451151,18985069,92076525,-0.14134086668491364,0.15364642441272736,0.0016220472053545207,0.041361377759274495,86204691,92076876,-0.018766283988952637,0.040561556816101074,3.4108927971485676,53.277473393697136,87014234,92076870,-0.1450653076171875,8.309399986267067,-815.3794147335534,189961.54696386858,2102222,2115016,0.0,0.0,0.3254344800644915,8.767838980629847,87014234,92076870,-0.11427593231201172,3.9536199092864877
British Indian Ocean Territory,,,0,1016,,,,,0,1016,,,,,0,1018,,,,,0,1016,,,,,0,1014,,,,,0,1014,,,,,0,1014,,,0.0,0.0,1,22,0.0,0.0,,,0,1014,,
British Virgin Islands,,,0,2178,,,,,0,2178,,,0.08706344383350317,0.5359450919822438,138,2184,-0.17013788223266602,1.4875834643840795,333.5618084370678,1571.7808800044313,723,2178,0.0,2036.191955566405,,,0,2178,,,,,0,2172,,,,,0,2172,,,-1673.0926513671875,6479.859950642538,16,31,-6692.37060546875,0.0,,,0,2172,,
Brunei,0.0007467728264247005,0.010293631664197283,50600,61605,-0.0013776510953903188,0.013112017512321467,-0.9802648462152607,37.854626376396645,52606,61605,-1.6433511972427368,0.01202042680233717,0.06648309085531474,0.9634065142103588,279,61601,-0.2983284950256341,2.6464717864990233,-5.559941906245812,423.180965728618,59688,61605,0.0,0.0,0.00952329512115686,0.07692099453029072,7799,61609,-0.10550659149885176,0.1636802807450294,0.0015134443664490682,0.022122970082157505,50778,61604,0.0,0.01412299275398254,-2.275944623328687,43.61065414858324,50933,61602,-7.62939453125e-06,0.0,1925.4476785714285,50539.75621576095,700,732,0.0,0.0,-0.15039336680663815,3.6980989702972606,50933,61602,0.0,0.0
Bulgaria,9.488239360852478e+31,inf,1503910,1591188,-0.00535995364189148,0.028289264440536505,-1.373659588609876,48.223900713912,1567709,1591188,-7.5846490859985325,0.14756294488906785,0.03701590597629547,0.6162451244992949,320,1591142,-0.41464662551879883,0.12417751550674438,-6.578121702382562,362.3283957990323,1582582,1591188,0.0,0.0,0.0026021295104400087,0.3431697246515197,665373,1591150,-0.3427588641643524,0.34781408309936523,0.029341854751273898,0.04717493169337988,1482655,1591221,0.0,0.11063633561134344,-1.7242589351492474,48.962594935164894,1517546,1591221,-2.2103915214538574,0.5072412490844727,1255.7244077374485,23183.02240388801,13803,14031,0.0,0.0,-0.8000881027659129,12.732969047169822,1517546,1591221,-1.994711458683014,7.62939453125e-05
Burkina Faso,-0.0019645254889501438,0.012153384785720986,2817005,2939791,-0.024262666702270508,0.007937514781951871,1.1508935593581522,14.3160098352613,2928233,2939791,-0.34454281330108644,6.56773166656494,,,0,2939573,,,8.69102492868566,105.90888347280398,2928233,2939791,0.0,33.579459381103334,0.008323369697650141,0.04890404826699248,1097768,2939646,-0.020854746270924807,0.07356625609099826,0.0026057267324089495,0.02922672938957149,2837963,2939864,-0.03178361654281616,0.05014958977699277,1.0977605548075715,7.10673129982989,2843941,2939865,-0.06915283203125,6.263923645019531,-1710.1711949042583,60816.94598683114,50866,50866,-221.5861701965332,0.0,0.2871877660260884,2.737830921798834,2843941,2939865,-1.501021385192871,4.078644275665283
Burundi,-0.001712676986882716,0.029767574578198022,253125,284080,-0.05194557905197143,0.04042267799377441,25.06388043984682,744.1841535584805,264001,284080,-111.51266479492188,141.77716064453125,,,0,284065,,,78.86687550425945,3871.5285919678886,264001,284080,0.0,34.45598220825195,0.009543500983761478,0.4856052680305264,151253,284040,-0.40809115767478943,0.5948701858520508,-0.00685255975052804,0.06543112219267101,254242,284094,-0.10459190905094146,0.09082187712192519,0.5398927108575939,5.702741757527476,271119,284099,-5.742856216430663,10.585638427734354,-2846.904931210388,297260.39098075626,6469,6493,0.0,0.0,-0.13611261049114964,5.267831834660106,271119,284099,-8.791846561431884,5.9349191188812185
Cabo Verde,,,0,47558,,,,,0,47558,,,-0.08580934590306775,0.052176758324056056,29,47579,-0.1782252937555313,4.7683715820311484e-08,,,0,47558,,,,,0,47550,,,,,0,47569,,,,,0,47570,,,88.37627472864146,1666.9888125994385,357,481,0.0,0.0,,,0,47570,,
Cambodia,-0.006544570799001927,0.018958356528974235,1781532,1961243,-0.03749198615550995,0.0007889270782470703,10.361211332960618,155.4389205041739,1885262,1961243,-0.02135467529296875,22.564402103424037,-0.3003118081910183,0.7107533661176794,1581,1961165,-2.552799701690674,0.04890799522399902,107.40062645754024,1498.6163191247883,1909467,1961243,0.0,298.13730468749975,0.004269213844100859,0.09072455421076993,399734,1961188,-0.05023897308856249,0.08571753390133366,0.0030529679633808813,0.03286076032383913,1798043,1961253,-0.04980003833770752,0.036881023645400995,3.195876950547104,38.08276551312869,1814555,1961256,-1.9440193176269527,11.500910949707027,-3667.389104773077,45519.04621150019,40917,41291,-7045.528027343742,0.0,0.8831419411370832,6.143335597814479,1814555,1961256,0.0,4.910630321502663
Cameroon,-0.0007048274660678675,0.008706944024483828,4672949,4936728,-0.005965590476989746,0.0017067193984985352,5.205105780554128,321.23998331552696,4876747,4936728,-0.054474067687988265,0.3657657623291044,0.00194719013495323,0.10761785570568544,78,4936441,-0.13242101669311523,0.023238896578549016,27.82962050215815,2052.5311933395633,4905825,4936728,0.0,0.0,0.022933707158284827,0.4468636213037913,454077,4936426,-0.39534960985183704,0.5768301725387562,4.843335564051817e-05,0.01926572716194756,4653256,4936746,-0.006623685359954834,0.008220329880714417,0.4258908950940537,6.711698452743513,4688066,4936748,0.0,0.00171661376953125,-452.97126251210847,45930.443253914236,123880,123880,0.0,0.0,0.08715177004760599,2.098842831909546,4688066,4936748,0.0,0.0
Canada,nan,nan,76231973,104272840,-0.005565643310546875,0.0031714439392089844,0.24400429676123636,70.56244101516187,87218251,104272840,-0.0067996494472026825,0.010787725448608398,-0.0016304356454701426,0.803204366374425,85498,215373312,-1.0436643362045288,1.1330776274204204,1.709764602742032,529.4833388102187,89633457,104272840,0.0,0.0,0.03935066485441057,2.2554912812685313,5671016,221187839,-0.026420596055686474,0.05308689922094345,0.0024938939793610723,0.05056336566912443,79013408,104272977,-8.821487426757812e-06,0.04948568344116211,0.3102499380317276,26.679237755858026,87484285,104272977,-1.1444091796875e-05,7.62939453125e-06,-409.7082100447047,55494.66712041064,2556332,2629984,0.0,0.0,0.08727103387768444,6.1182987240710505,87484285,104272977,-2.6226043701171875e-06,2.6941299438476562e-05
Cayman Islands,,,0,3622,,,,,0,3622,,,0.029904180102878146,0.10505301574848147,126,3624,-0.0021420717239379883,0.1963481903076172,-0.7990164703134252,10.456707007847413,1689,3622,0.0,0.0,,,0,3628,,,,,0,3619,,,,,0,3618,,,0.0,0.0,30,45,0.0,0.0,,,0,3618,,
Central African Republic,5.068323341593403e-05,0.003996691643727689,6344617,6574517,-0.0007957220077514648,0.0005117654800415039,0.1204943766146307,11.233541001280793,6570775,6574517,-0.0023774892091751095,0.004739440977573381,,,0,6574240,,,1.6023164695184358,130.76095248886742,6570775,6574517,0.0,0.0,0.0005739168368715002,0.026558708033897375,89804,6574329,-0.014973425306379795,0.011258802330121397,0.0011389589433251994,0.012753638945779303,6355276,6574592,0.0,0.0,0.06758471995891106,1.1524495363291223,6354996,6574603,0.0,0.0,-68.29517248887169,5053.33147991891,82672,82672,0.0,0.0,-0.07470936547403019,0.8403618377178129,6354996,6574603,0.0,0.0
