subregion,avg_sediment_retention_ratio_diff_1992_2020,stdev_sediment_retention_ratio_diff_1992_2020,valid_count_sediment_retention_ratio_diff_1992_2020,count_sediment_retention_ratio_diff_1992_2020,p5_sediment_retention_ratio_diff_1992_2020,p95_sediment_retention_ratio_diff_1992_2020,avg_sediment_export_diff_1992_2020,stdev_sediment_export_diff_1992_2020,valid_count_sediment_export_diff_1992_2020,count_sediment_export_diff_1992_2020,p5_sediment_export_diff_1992_2020,p95_sediment_export_diff_1992_2020,avg_coastal_risk_esa_diff_1992_2020,stdev_coastal_risk_esa_diff_1992_2020,valid_count_coastal_risk_esa_diff_1992_2020,count_coastal_risk_esa_diff_1992_2020,p5_coastal_risk_esa_diff_1992_2020,p95_coastal_risk_esa_diff_1992_2020,avg_usle_diff_1992_2020,stdev_usle_diff_1992_2020,valid_count_usle_diff_1992_2020,count_usle_diff_1992_2020,p5_usle_diff_1992_2020,p95_usle_diff_1992_2020,avg_polllination_diff_1992_2020,stdev_polllination_diff_1992_2020,valid_count_polllination_diff_1992_2020,count_polllination_diff_1992_2020,p5_polllination_diff_1992_2020,p95_polllination_diff_1992_2020,avg_n_retention_ratio_diff_1992_2020,stdev_n_retention_ratio_diff_1992_2020,valid_count_n_retention_ratio_diff_1992_2020,count_n_retention_ratio_diff_1992_2020,p5_n_retention_ratio_diff_1992_2020,p95_n_retention_ratio_diff_1992_2020,avg_n_retention_diff_1992_2020,stdev_n_retention_diff_1992_2020,valid_count_n_retention_diff_1992_2020,count_n_retention_diff_1992_2020,p5_n_retention_diff_1992_2020,p95_n_retention_diff_1992_2020,avg_nature_access_diff_1992_2020,stdev_nature_access_diff_1992_2020,valid_count_nature_access_diff_1992_2020,count_nature_access_diff_1992_2020,p5_nature_access_diff_1992_2020,p95_nature_access_diff_1992_2020,avg_n_export_diff_1992_2020,stdev_n_export_diff_1992_2020,valid_count_n_export_diff_1992_2020,count_n_export_diff_1992_2020,p5_n_export_diff_1992_2020,p95_n_export_diff_1992_2020
Middle Africa,-0.0005601412721997,0.0109353805161532,59401142,70171457,-0.0091444849967956,0.0062819719314575,2.5870401255526785,212.761194014963,62099830,70171457,-0.1418444275856016,0.4311073541641192,0.2925497564873349,0.5356934637403318,5754,70169443,-0.3180091381072998,1.0080991983413696,11.682279611350332,1206.8610796488024,62259876,70171457,0.0,0.0,0.0084820529806392,0.1699870174411688,4034554,70170614,-0.0255411565303802,0.0745127223432063,-0.0003090159169078,0.0466943533203525,57071418,70171906,-0.0173277348279952,0.0153608918190002,0.1272501670308138,4.714714440122373,66067151,70171906,-0.0017242431640625,0.4485111236572265,-860.401368381316,103552.78738472496,1022522,1025292,0.0,0.0,0.0211344098975904,1.7814079815493926,66067151,70171906,-0.3276959061622619,0.0057182312011718
Northern Africa,7.298119330638354e-05,0.0202111505468169,17571781,88950658,-0.0101122260093688,0.0116491913795471,-0.1362951234829857,76.94123679266984,19640965,88950658,-1.185537147521972,0.8412796020507827,0.1072507954626003,0.6858443541654734,4078,88947376,-0.2213400602340698,0.4439394474029541,-0.2428440360529558,337.4309656837375,19935120,88950658,0.0,0.0,0.3805462282835337,5.222616188818323,4533599,88949840,-0.0843401931226253,1.255065751075732,0.0022756492475194,0.1554602593799141,17558394,88950618,-0.0699369370937347,0.0651900976896285,0.794684652551913,24.96004509841778,82568450,88950618,0.0,3.1962990760803223e-06,-2039.4055520433465,191970.0297169028,1097758,1101258,0.0,0.0,0.3856472538845043,10.525809061765782,82568450,88950618,0.0,0.0
Northern America,-0.0006482756784457,0.0832377632419251,174842621,218051517,-0.0072930455207824,0.0028717517852783,0.4416707247398996,59.83401522482542,190850014,218051517,-0.0305724143981933,0.1377537459135052,-0.0092291481878793,0.7400525927621565,177269,437488488,-1.0436644554138184,1.043664574623108,3.688998017221552,456.1690814526241,195273456,218051517,0.0,0.0,0.0935091019993001,5.836494352166843,24460560,453983517,-0.1404419228434563,0.2142495200037958,-0.0019495844139677,0.0723012019963527,175996531,218051481,-0.0118567943572998,0.0102759599685668,0.4025972312751475,51.85556490083688,189587275,218051481,-0.02239990234375,0.02490234375,-4946.008690733451,167926.2287211262,5215210,5326088,0.0,0.0,0.1333387802530523,10.833851953052829,189587275,218051481,-0.0007121562957763,0.1438436508178711
Northern Europe,-0.0011158448043068,0.0983561210988319,8871350,13894427,-0.0122214555740356,0.0068740844726562,0.2426446574613167,23.084231403701622,9339062,13894427,-0.1040162842720746,0.1602081656455993,0.0257419495380679,0.6628709202384664,292359,42493968,-0.8126815557479858,0.9910465478897096,1.364570827309135,151.13880233101,10716502,13894427,0.0,0.0,0.2287856819312207,3.8767862191715303,3828128,42494653,-1.8251749515533449,4.153418588638305,-0.0057048234346007,0.1075838698358065,8252176,13894451,-0.0645948201417923,0.0408128201961517,1.5490013906527291,84.25040384158781,9114425,13894451,-3.7580940246582033,3.4085784912109247,-8178.103693270887,260030.01848234923,414646,427462,0.0,0.0,1.013774428995795,22.96866808352806,9114425,13894451,-0.5550033569335937,3.7028900146484034
Polynesia,,,0,111903,,,,,0,111903,,,-1.2269965163222305e-07,4.0263679191182267e-07,222,111904,-4.76837158203125e-07,4.76837158203125e-07,,,0,111903,,,,,0,111905,,,,,0,111887,,,,,0,111887,,,0.0,0.0,791,1447,0.0,0.0,,,0,111887,,
Seven seas (open ocean),,,0,219869,,,,,0,219869,,,,,0,215040,,,,,0,219869,,,,,0,222043,,,,,0,222071,,,,,0,222071,,,0.0,0.0,860,2786,0.0,0.0,,,0,222071,,
South America,-0.0013364140067321,0.0310314771723793,178795595,199669348,-0.0165435671806335,0.0057732462882995,-0.808256595260238,242.1139568419688,188346207,199669348,-0.84326171875,2.1195970296859485,-0.1889311237715552,0.6108502508886611,97888,199666306,-0.9755119830369948,0.4742400050163269,1.6960065882896742,1490.8449612438712,191228993,199669348,0.0,0.0,0.0030873223292026,1.7467334239632113,30418547,199668024,-0.2263347029685974,0.2465198859572407,-0.0025474801029507,0.0765235438521573,174345952,199669610,-0.0352818965911865,0.0209678545594211,2.055464408559434,51.82860364862043,185531195,199669610,-0.1353912353515625,3.960483551025391,-1132.4227359325544,154718.94537716729,4266304,4297307,0.0,0.0,0.2657486467437457,8.621584503772933,185531195,199669610,-0.0119438171386718,1.7355661392211914
South-Eastern Asia,-0.0019417239169749,0.1058526328187946,40745341,48558189,-0.0299228429794311,0.0172560214996337,9.00148859823565,652.864938152653,42844334,48558189,-10.764764308929443,18.541596794128424,-0.0137779039771958,0.7635101561999118,123818,48557524,-1.107589381933212,0.995123648643492,11.474041088111449,4061.19274102249,46710105,48558189,0.0,63.43119201660153,0.0540867152089536,0.9114535557512712,13777266,48557756,-0.8771080821752548,1.2400051951408386,-0.0058067863328123,0.1079757394894203,37391277,48558341,-0.0923803091049194,0.0427201390266418,4.155986794438097,138.25553276401646,41031499,48558341,-6.029797363281249,8.291753387451195,-539.6702979810675,278801.3440435431,918951,951988,-0.2864175587892532,0.0,1.1563141770667458,24.24360367218915,41031499,48558341,-0.9356808662414552,5.589658737182646
Southern Africa,-0.0004411823076547,0.2113531038071029,28134962,31173464,-0.0078502297401428,0.0065224170684814,0.8305675714708168,86.21245869545696,29518027,31173464,-0.2444038301706313,0.652198427915571,0.0404607429608175,0.6018701380754192,2573,31173404,-1.0106624126434327,0.9973363876342772,2.733945865716502,379.47540505627626,29668962,31173464,0.0,0.0,0.0202825146922662,0.7262715605291891,2192480,31173611,-0.0847258940339088,0.1122607231140123,-0.0006198424636665,0.0606842246884841,26851877,31173596,-0.0196242928504943,0.0261757969856262,1.201487156589078,32.16682017760375,29289182,31173596,-0.0054645407944917,1.6306493759155245,-9606.615518149403,295972.4320466941,544949,547213,0.0,0.0,0.4202914919235368,8.372283620935264,29289182,31173596,-0.4032935142517089,0.8250882565975171
Southern Asia,0.0006240529032093,0.038532217877379,56776305,79703144,-0.0068444609642028,0.0117328763008117,-2.3316245694360505,310.1569814475714,61320740,79703144,-2.7461822032928467,0.9399940967559672,0.0013934665031695,0.4276231999547772,9445,79701842,-0.6351632833480834,0.3704932928085327,-19.973435245176827,1781.4158897226678,62088433,79703144,0.0,0.0,0.1079451360047821,1.4357265598121027,16170277,79702576,-0.5504524230957031,1.2339265823364252,0.0002690928524319,0.1197959796597866,59093185,79703387,-0.0315213680267333,0.0208306908607482,-0.1220199075026324,74.06055216393314,73646204,79703387,-0.1669327735900871,0.0084235087037085,-4440.520015579434,308288.3907893072,1327391,1355215,0.0,0.0,0.387666172176369,19.202159793258176,73646204,79703387,-0.0033799715340137,0.4380948066711312
Southern Europe,-0.0002910070694389,0.2105875709072837,15894724,18494015,-0.0228955149650573,0.0202450066804885,-0.7024076415712002,188.34922133938676,16793405,18494015,-8.88436508178711,5.936328506469716,0.035550477001369,0.6671950056235917,13627,18491876,-0.6102936267852783,0.7516117095947266,-3.959975612428072,1113.1500085698265,18019014,18494015,0.0,0.0,0.0835075425354143,2.513564886395425,6336132,18494127,-1.0178656816482543,1.4493598818778866,-0.0007435119079431,0.1107221324130707,14833161,18494241,-0.0541508793830871,0.0548178553581237,2.6915994811094546,112.11996267612273,15947872,18494241,-4.338323879241942,3.4990913391113168,-4049.451130923744,239551.53853126016,293079,299747,0.0,0.0,1.1354738738811043,28.10929426699253,15947872,18494241,-0.7724616527557373,3.803575992584229
Western Africa,-0.0003843885938255,0.037266609398022,37566113,66121581,-0.0205374956130981,0.0172891020774841,0.9921381931196932,120.48626534148612,39340193,66121581,-2.622591686248779,5.508315944671615,-0.0212966720180644,0.6920237113446331,10594,66114442,-0.8269795179367065,0.7200709581375122,6.413396838708914,787.2228922098343,39729970,66121581,-2.1791415929793803,1.704172945022265,0.0713135814727891,0.7279058220370273,11758791,66121103,-0.135774940252304,0.4189413338899612,0.0025764575338945,0.1114481808161055,38171831,66122194,-0.057780236005783,0.0699850022792816,0.7876360133955024,9.1388278849652,62182662,66122194,-0.0031661987304687,5.321006393432583,-3126.305717124957,181844.42256112132,651079,689248,0.0,0.0,0.0372816501487183,3.338935969566992,62182662,66122194,-2.653253388404845,0.8874801397323502
Western Asia,0.001132346260761,0.1363916787793088,19341683,54536791,-0.0111533403396606,0.0206378042697905,-1.6135916710331322,131.62005676176472,21563971,54536791,-7.14199686050415,1.6610565185546875,-0.1033223359390935,0.7394791413972795,7354,54535521,-1.1763451099395752,0.3192872762679954,-5.590945666435378,587.8258246456213,22239163,54536791,0.0,0.0,0.2188587008398928,2.6773586057328,5845746,54536336,-1.0524972081184387,2.27460515499115,0.0003731202695105,0.1194933104820023,19123748,54537086,-0.0397529959678649,0.0388947904109953,0.2747121090539215,51.729912060636096,49591174,54537086,-0.000604753755033,1.9390136003494263e-06,-1226.6600451722877,116674.17491781373,989102,995813,0.0,0.0,0.4094817759305315,18.418291077017315,49591174,54537086,-4.889443516731262e-09,0.001014608819969
Western Europe,-0.0005428469985511,0.0293813163947658,16760260,18423537,-0.01615571975708,0.0126543641090393,2.4757206490370507,101.99739284745752,17635665,18423537,-0.7378959655761719,1.29757559299469,-0.0577885430967545,0.5399336460551556,13885,18418461,-0.813133955001831,0.5054599046707153,8.044041200324681,574.891625701361,18091605,18423537,0.0,0.0,0.1577524743606641,3.0670198092174843,6843586,18423254,-0.0956543572247028,0.2935782223939895,-0.002818277656624,0.1252789423179022,16009275,18423704,-0.0616515278816222,0.0423733592033386,-12.434098298877132,148.74181726542267,16961679,18423704,-6.912928009033201,1.831149291992176,4785.399725252525,379112.1098124345,247500,249596,0.0,0.0,-2.128811186675565,34.965892832956975,16961679,18423704,-1.6392938613891592,2.57918000221252
